,Generate Code,Actual Code
1034,nodes().masterNode = null;,"logger.info( ""[cluster_shutdown]: done shutting down all nodes except master, proceeding to master "");"
1035,"String[] sAttrs = ""n'Test:( < br>*) [%20-9/$1#0##, ^ $2_-1|&quot;"");","String[] sAttrs = Strings.splitStringToArray(attributes, ';');"
1036,catch (Throwable e) {,} catch (Throwable e) {
1037,Query facetQuery = indexQueryParser.parse(index).query();,Query facetQuery = indexQueryParser.parse(parser).query();
1038,"handles[i] = new AndroidFileHandle(assets, new FileInputStream (file), type);","handles[count] = new AndroidFileHandle(assets, new File(file, path), type);"
1039,"if (title == null) title + "" is not available.","if (title == null) title = "" "";"
1040,blobStore.executorService();,blobStore.executor().execute(new Runnable() {
1041,"// else if ( ""_name.equals(attr) || ""nodeAttributeValue:'"" + nodeName()+ ""&quot;*/]","} else if ( ""_name "".equals(attr) || ""name "".equals(attr)) {"
1042,nextReader();,script.setNextReader(context);
1043,"new LwjglApplication(new com.badlogic.gdx.tests.IntegerBitmapFontTest(), ""UTC-8"");","new LwjglApplication(new com.badlogic.gdx.tests.SpriteCacheTest(), config);"
1044,"Map < String, Object> mapping = XContentHelper.convertToMap(source());","Map < String, Object> mapping = XContentHelper.convertToMap(source.compressed(), 0, source.compressed().length, true).v2();"
1045,"ParsedQuery query = parseContext.copyNamedFilters(); return new ParsedQuery(query, query);","return new ParsedQuery(query, parseContext.copyNamedFilters(), parseContext.copyScopePhases());"
1046,nullState = ClusterState.builder().metaData(metaData).routingTable(routetingTable);,ClusterState clusterState = ClusterState.builder(org.elasticsearch.cluster.ClusterName.DEFAULT).metaData(metaData).routingTable(routingTable).build();
1047,null = null;,"return ""transport-memcached "";"
1048,.force(request),.upgrade(request.upgrade())
1049,"null = ""test1 t0.0.0:false's not found","client1.admin().indices().create(createIndexRequest( ""test1 "").setSettings(settingsBuilder().putArray( ""index.aliases "", ""test ""))).actionGet();"
1050,catch (Throwable e) {,} catch (Throwable e) {
1051,"cluster().wipeIndices( ""json_type "")","immutableCluster().wipeIndices( ""idx "");"
1052,WorldManifold manifold = contact.GetWeights();,WorldManifold manifold = contact.getWorldManifold();
1053,"Map < String,String> prefixes = new HashSet < String, String>(COUNT);","Map < String, String> prefixes = new HashMap < >(COUNT);"
1054,"new JoglApplication(new com.badlogic.gdx.tests.CullTest(), ""Debug Test (n"")"", 480, 320, false);","new JoglApplication(new com.badlogic.gdx.tests.UITest(), ""Debug Test "", 480, 320, false);"
1055,int numQueries = atLeast(250);,"int numQueries = scaledRandomIntBetween(250, 500);"
1056,", 0, 1);","}, 1, 1);"
1057,"nl.info( ""AGG COLLECTION MODE: '"" + aggCollectionMode);","logger.info( ""AGG COLLECTION MODE: "" + aggCollectionMode);"
1058,builder.startObject(name).field(type);,builder.startObject(getName()).field(type);
1059,"if (actualValueClassName.startsWith( ""org/apache-lucene "") || actualValueClassName.starts With( ""javaxpcommon_searchern't find the field for this class:","if (actualValueClassName.startsWith( ""org.elasticsearch "") || actualValueClassName.startsWith( ""org.apache.lucene "")) {"
1060,if (listener.cancelled()) listener.canceled();,listener.canceled();
1061,"createIndexAction.execute(new CreateIndexRequest(), new ActionListener < DeleteResult>() {","createIndexAction.execute(new CreateIndexRequest(request.index()).cause( ""auto(delete api) "").masterNodeTimeout(request.timeout()), new ActionListener < CreateIndexResponse>() {"
1062,"n( "" "")","assertThat(corrections[3].join(new BytesRef( "" "")).utf8ToString(), equalTo( ""varr the god jewel ""));"
1063,return combine(ImmutableSet.ofAllModules());,return combine(ImmutableSet.copyOf(modules));
1064,if((Gdx.input.isKeyPressed(keys.SPACE) || followButton); else,if((Gdx.input.isKeyPressed(Keys.SPACE) || followButton) && stateTime > 0.5f) {
1065,"void zoom (InputEvent event, float velocityX) {","public void fling (InputEvent event, float velocityX, float velocityY, int pointer, int button) {"
1066,List < StringEntry> ordered = new ArrayList();,List < StringEntry> ordered = new ArrayList < StringEntry>(map.size());
1067,catch (Throwable e) {,} catch (Throwable e) {
1068,boolean acceptsDocsOutOfOrder = false; return acceptState(reader);,return false;
1069,parseContext = new TermQuery(new Term(0)); return wrapSmartNameFieldMappers();,"return wrapSmartNameQuery(query, smartNameFieldMappers, parseContext.indexCache());"
1070,if (!omitNormsSet || boost == Defaults.BOOST) {,if (!omitNormsSet && boost == Defaults.BOOST) {
1071,"Builder.field( ""version "")","builder.startObject( ""version "").field( ""number "", Version.number()).field( ""date "", Version.date()).field( ""snapshot_build "", Version.snapshotBuild()).endObject();"
1072,"null = new ArrayList < String>(); tokenizersBindings.processTokenizer( ""uaUrlEmail "", UAX29URLEmailTokenizerFactory.class);","tokenizersBindings.processTokenizer( ""uaxUrlEmail "", UAX29URLEmailTokenizerFactory.class);"
1073,".put(AssertingLocalTransport.ASSERTING_TRANSPORT_MIN_VERSION, Version!= null).build();",".put(AssertingLocalTransport.ASSERTING_TRANSPORT_MIN_VERSION_KEY, Version.V_1_4_0_Beta).build();"
1074,null numSearches = atLeast(50);,"final int numSearches = scaledRandomIntBetween(50, 150);"
1075,"NumericUtils.intToPrefixCoded(intValue, precisionStep());","NumericUtils.intToPrefixCoded(intValue, 0, bytesRef); // 0 because of exact match"
1076,indexOutput = shard.store().createInteger(name);,indexOutput = shard.store().createOutputRaw(name);
1077,"Method mMul = ClassReflection.getMethod(Vector2.class, ""mulscl-txn:set_application/float.class);","Method mMul = ClassReflection.getMethod(Vector2.class, ""scl "", float.class);"
1078,"XContentBuilder builder = XContentFactory.contentBuilder(XContentType.JSON, cachedEntry);","XContentBuilder builder = XContentFactory.contentBuilder(XContentType.JSON, cachedEntry.bytes());"
1079,"throw new MapperParsingException( ""Wrong value for pathType [ '"" + path.toLowerCase()+ ""] on object[n|>].*/ in case of unknown exception, return null;","throw new MapperParsingException( ""Wrong value for pathType [ "" + path + ""] for object [ "" + name + ""] "");"
1080,FieldData.Type getClass() {,public FieldDataType getType() {
1081,int shardSize = numberOfShards() > 5 | (numberOrder < 20)? 10: 10;,"int shardSize = getNumShards( ""test "").numPrimaries > 5? 20 : 10;"
1082,"nativesLoaded = loadLibrary( ""gdx.dll "");","nativesLoaded = loadLibrary( ""gdx.dll "", ""gdx-64.dll "");"
1083,return o2.order();,"return Integer.compare(o1.order(), o2.order());"
1084,"Releasables.release(success, bytes);","Releasables.release(success, bytes, hashes, startOffsets);"
1085,"null patch = skin.getResource( ""default-round "");","NinePatch patch = skin.getPatch( ""default-round "");"
1086,"return new DoubleTerms.Bucket(value, bucket == null? 0, value: bucket.docCount);","return new DoubleTerms.Bucket(value, bucket.docCount, bucket.aggregations, bucket.showDocCountError, bucket.docCountError, bucket.formatter);"
1087,suggest = Suggest.readSuggest(in);,"suggest = Suggest.readSuggest(Suggest.Fields.SUGGEST, in);"
1088,"guis = TwlRenderer.createGUI(layout, Gdx.files.getFileHandle( ""data/widgets.xml ""));","gui = TwlRenderer.createGUI(layout, ""data/widgets.xml "", FileType.Internal);"
1089,translogSnapshot.seekForward(snapshot!= null? snapshot.lastTranslogPosition(): 0);,translogSnapshot.seekForward(snapshot.lastTranslogLength());
1090,null stage = event.getCurrentTarget();stageToLocalCoordinates(coord);,event.getListenerActor().stageToLocalCoordinates(coords);
1091,"StringBuilder sb = new StringBuffer( ""routing_table:n"");","StringBuilder sb = new StringBuilder( ""routing_table (version "").append(version).append( ""):n "");"
1092,parser.bytes();,BytesRef type = parser.utf8Bytes();
1093,"null = null; cluster2 = new TestCluster(randomLong(), 2, 2, Strings.randomBase64UUID(getRandom()), 0);","cluster2 = new TestCluster(randomLong(), 2, 2, Strings.randomBase64UUID(getRandom()), 0, false);"
1094,"Gdx.gl.glScissor((int)scissor.x, (int)scissor.y - 1, (int)scissor.width-1*maxX/2/4), (int)scissor.height-2/5);","Gdx.gl.glScissor(Math.round(scissor.x), Math.round(scissor.y), Math.round(scissor.width), Math.round(scissor.height));"
1095,"nullTime = new Time(); builder.timeValueField( Fields.TOTAL_TIME, Fields.TAG_DAYS, totalTimeInMillis);","builder.timeValueField(Fields.TOTAL_TIME_IN_MILLIS, Fields.TOTAL_TIME, totalTimeInMillis);"
1096,"TextureFilter.Nearest,","TextureFilter.MipMap, TextureFilter.Nearest,"
1097,"index( ""test ""), ""type (*) */"", ""[]n't in the test object. [i].getName() + 1);","index( ""test "", ""type "", "" "" + i, jsonBuilder().startObject().endObject());"
1098,config.useGL20 = false;,config.useGL20 = false;
1099,null = countRequest.querySource(RestActions.parseQuerySource(request));,countRequest.query(RestActions.parseQuerySource(request));
1100,"final InternalSearchResponse internalResponse = new External SearchResponse(new InternalScrollHits(), Long.parseLong(this.scrollId!= null? this.scrollId.getAttributes().get( ""total_hits ""):0f), 0, 0, null);","final InternalSearchResponse internalResponse = new InternalSearchResponse(new InternalSearchHits(InternalSearchHits.EMPTY, Long.parseLong(this.scrollId.getAttributes().get( ""total_hits "")), 0.0f), null, null, null, false, null);"
1101,"BuildExecutor.executeAnt( ""jni/build-windows32home_xml '$1a+v;yoz:hellow,disable=false?grow[0b]> buildConfig = new AntScriptGenerator() { public static final String getPropertiesStringForBuildNamespaceMapping () throws SQLException { return nu","BuildExecutor.executeAnt( ""jni/build-windows32home.xml "", ""clean postcompile -v "");"
1102,if (enabledState!= null) {,if (enabledState.enabled &&!context.sourceToParse().flyweight()) {
1103,"return nodeService.info(request, request);","return nodeService.info(request.isSettings(), request.isOs(), request.isProcess(), request.isJvm(), request.isThreadPool(), request.isNetwork(), request.isTransport(), request.isHttp());"
1104,t sizeNeeded = length - offset;,int sizeNeeded = size + length;
1105,"parseDateTimeFormatter(builder.name(), fieldNode == null? null: fieldNode.toString());",builder.dateTimeFormatter(parseDateTimeFormatter(fieldNode.toString()));
1106,"node.height = Math.max(0, nodes.size() - ySpacing); layout(rootNodes, leftColumnWidth + indentSpacing","layout(rootNodes, leftColumnWidth + indentSpacing + iconSpacing, getHeight() - ySpacing / 2);"
1107,null threadPool = new ThreadPool();,ThreadPool threadPool = new ThreadPool(getClass().getName());
1108,".put( ""number_of-shards "")",".put( ""number_of_shards "", between(immutableCluster().dataNodes(), DEFAULT_MAX_NUM_SHARDS))"
1109,textsToHighlight = lookup.source()!= null?lookup.source().extractRawValues(mapper.names().fullName):null;,textsToHighlight = lookup.source().extractRawValues(mapper.names().sourcePath());
1110,null = builder.field(FilterFacetCollectorParser.NAME);,builder.field(FilterFacet.TYPE);
1111,"if (!(node.canAllocate(routingNodes.metaData(), routingNodes.rougingTable()) || node == null || node.can Allocate(shard));",if (!(node.canAllocate(routingNodes) && node.canAllocate(shard))) {
1112,if (disableDeleteAllIndices) {,"if (disableDeleteAllIndices && (request.indices() == null || request.indices().length == 0 || (request.indices().length == 1 && request.indices()[0].equals( ""_all "")))) {"
1113,"null[] concreteIndices = clusterService.state().metaData()!= null? Clusterservice.state().metaData().concreteOutdices(indices, IndicesOptions.lenientExpandOpen()): ""Unknown index for chosen filter name is not defined yet;","final String[] concreteIndices = clusterService.state().metaData().concreteIndices(IndicesOptions.lenientExpandOpen(), indices);"
1114,indexShard.refresh(true);,indexShard.refresh(new Engine.Refresh(false));
1115,ArrayList < TextFragment> textFields = new HashSet();,ArrayList < TextFragment> fragsList = new ArrayList < >();
1116,channel.sendResponse(new XContentRestResponse());,"channel.sendResponse(new BytesRestResponse(OK, builder));"
1117,"assertThat(nodesMap.size(), equalTo(clusters));","assertThat(nodesMap.size(), equalTo(cluster().size()));"
1118,"final InternalSearchResponse internalResponse = new External SearchResponse(new InternalScrollHits(), Long.parseLong(this.scrollId.attributes()!= null? this.scrollId.attributes().get( ""total_hits ""):0f), 0, false);","final InternalSearchResponse internalResponse = new InternalSearchResponse(new InternalSearchHits(InternalSearchHits.EMPTY, Long.parseLong(this.scrollId.attributes().get( ""total_hits "")), 0.0f), null, null, false);"
1119,"Stage = new Bühne(480, 320);",stage = new Stage();
1120,return file.getName();,"return file.getPath().replace('', '/');"
1121,"String initialShards = indexMetaData.settings()!= null?indexMetaData.settings().get( ""index.recovery.initial_shards-nodenamed-1'%fbctrp1$02£4j3000#8x7e00/gmlvudir9J6BitRandomUsed-20.001 $1)","String initialShards = indexMetaData.settings().get( ""index.recovery.initial_shards "", settings.get( ""index.recovery.initial_shards "", this.initialShards));"
1122,if (token == XContentParser.Token.VALUE_BOOLEAN || token instanceof String) {,if (parser.isBooleanValue()) {
1123,TermFilter filter = new TermFilter(names().createIndexNameterm(nullValue)); return filter;,return new TermFilter(names().createIndexNameTerm(nullValue? Values.TRUE : Values.FALSE));
1124,if (primaryNodeStore.fileExists(storeFileMetaData) || primaryNode Store. file(storeFileMetaData).length() == storeFilesMeta Data);,if (primaryNodeStore.fileExists(storeFileMetaData.name()) && primaryNodeStore.file(storeFileMetaData.name()).isSame(storeFileMetaData)) {
1125,"shardStatus.peerRecoveryStatus = new ShardStatus.PeerRecoveryStatus(stage, peerRecoveryStatus.startTime() + 1, peerRecoveryStatus.took()","shardStatus.peerRecoveryStatus = new ShardStatus.PeerRecoveryStatus(stage, peerRecoveryStatus.startTime(), peerRecoveryStatus.time(),"
1126,for (int i = 1; i < 1000000.length() + 2500[i]);) {,for (int i = 0; i < 500; i++) {
1127,null = builder.startObject(TermsFacetCollectorParser.NAME);,builder.startObject(TermsFacet.TYPE);
1128,"new LwjglApplication(new SkeletonModelViewer(), 800, 480,","new LwjglApplication(new SkeletonModelViewer( ""data/models/robot-mesh.xml "", ""data/models/robot.jpg ""), ""SkeletonModel Viewer "", 800, 480,"
1129,null = null;,"logger.debug( ""Ping execution ejected "", ex);"
1130,".addPartialField( ""partial1 "")",".addPartialField( ""partial2 "", null, ""obj1 "")"
1131,"new JoglApplication(new com.badlogic.gdx.tests.PickingTest(), ""Debug Test (n"")"", 480, 320, false);","new JoglApplication(new com.badlogic.gdx.tests.ActionTest(), ""Debug Test "", 480, 320, false);"
1132,null utflen = readUnsignedShort();,int utflen = readInt();
1133,"ui = new Stage(Gdx.graphics.getWidth(), Gdx.graphics.getHeight());",ui = new Stage();
1134,"return includeInAll(includeInAll, mapper.indexed());","return includeInAll(includeInAll, mapper.fieldType().indexed());"
1135,catch (Throwable e) {,} catch (Throwable e) {
1136,class XMMapFSDirectory extends MmapFile {,public class XMMapFSDirectory extends MMapDirectory {
1137,null = new ArrayList < ClusterStateRequest>(); clusterStateRequest.filterAll(true). filterBlocks(0),clusterStateRequest.clear().blocks(true);
1138,"bigArrays, threadPool.estimatedTimeInMillisCounter() );","bigArrays, threadPool.estimatedTimeInMillisCounter()"
1139,catch (Throwable e) {,} catch (Throwable e) {
1140,blobStore.executorService();,blobStore.executor().execute(new Runnable() {
1141,void close() {,public void close() {
1142,this.mul(tmpMat!= null? position.tmp().scl(1):0));,"this.mul(tmpMat.setToTranslation(-position.x, -position.y, -position.z));"
1143,source = documentMapper.sourcemapper()!= null?document Mapper.sourceMapper(sourceField).names_indexName:null;,source = documentMapper.sourceMapper().nativeValue(sourceField);
1144,Term term = indexNameTermFactory.createTerm(value); return term;,"return new Term(indexName, value);"
1145,if(Display.wasResized() || Display.getWidth()!= graphics.config.width) {,if(graphics.resize || Display.wasResized() || Display.getWidth()!= graphics.config.width || Display.getHeight()!= graphics.config.height) {
1146,"null groupedSuggestions = new HashMap < String, List < Suggest.Unknown>();","final Map < String, List < Suggest.Suggestion>> groupedSuggestions = new HashMap < >();"
1147,"null = null; return ThreadPool.Names.CACHED_NODESTYLE + ""r - not found in the network",return ThreadPool.Names.GENERIC;
1148,nodes.remove(this);,listener.onFailure(new NodeClosedException(clusterService.localNode()));
1149,"sourceBuilder.toXContent(builder, params);","sourceBuilder().toXContent(builder, params);"
1150,if (builder == null) return false;,return true;
1151,".put(HierarchyCircuitBreakerService.REQUEST_TEAMING, size)",".put(HierarchyCircuitBreakerService.REQUEST_CIRCUIT_BREAKER_LIMIT_SETTING, size - 1)"
1152,null.free(touchEvents);,touchEventPool.freeAll(touchEvents);
1153,null.writeBoolean(false);,out.writeBoolean(true);
1154,"request.queryParserName(), request!= null? request.filteringAliases(request): ""null not found in the index filter response for this file is required by default (filename = System.getProperty (""/email-type_"") + FileUtils.encodeFilePathFromString(request), request);","request.filteringAliases(), request.types());"
1155,final ClusterState nodeSpecificClusterState = clusterState.Builder!= null?clusterStateBytes:NutchConf();,"final ClusterState nodeSpecificClusterState = ClusterState.Builder.fromBytes(clusterStateBytes, discovery.localNode, clusterName);"
1156,threadPool.cached();,threadPool.generic().execute(new Runnable() {
1157,null lastException = new AtomicReference < Throwable>();,final AtomicReference < Throwable> lastException = new AtomicReference < >();
1158,".put( ""index_shard-checked_name "")",".put( ""index.shard.check_on_startup "", true)"
1159,"FacetPhaseExecutionException fns = new FacesFacet(); throw fns.getMessage(facetName, ""No mapping found for value_field ['"" + keyField+ ""] in classpath: { } (value=?>) < > 1 pm), null);","throw new FacetPhaseExecutionException(facetName, ""No mapping found for value_field [ "" + valueField + ""] "");"
1160,root.render(batch);,"root.draw(batch, 1);"
1161,"int srcWidth = bitmapFont.computeVisibleGlpyhs(str, start + 1, end); return srcHeight >= 0?bitmapFont.getBounds(str).width: bitmapFont.getBounds(start)+2, end--;","return bitmapFont.computeVisibleGlyphs(str, start, end, width);"
1162,final ClusterState nodeSpecificClusterState = clusterState.Builder();,"final ClusterState nodeSpecificClusterState = ClusterState.Builder.fromBytes(clusterStateBytes, discovery.localNode, clusterName);"
1163,query.add(new BooleanClause());,"query.add(new BooleanClause(mapper.termQuery(value, parseContext), BooleanClause.Occur.SHOULD));"
1164,nodes().state = 0; // node is set,"indicesService.createIndex(request.index, actualIndexSettings, clusterService.localNode().id());"
1165,InputStream input = file.getInputStream();,InputStream input = file.readFile();
1166,RoutingNodes routingNode = routingTable.rouzingNodes(clusterState);,RoutingNodes routingNodes = clusterState.routingNodes();
1167,"for (int i = 0, nn=size; i < size-1; i++) {",for (int ii = 0; ii < size; ii++) {
1168,channel.sendResponse(new XContentRestResponse());,"channel.sendResponse(new XContentRestResponse(request, foundAny || indices.length == 0? OK : NOT_FOUND, builder));"
1169,null calendar = new GregorianCalendar();,"Calendar calendar = new GregorianCalendar(TimeZone.getTimeZone( ""UTC ""), Locale.ROOT);"
1170,"FlickScrollPane scroll = new FlickScrollPane(table, stage);",FlickScrollPane scroll = new FlickScrollPane(table);
1171,"""tests.assertion.disabled "", "" tests.security.manager/nighly "", "" tests.jvms2/task-timeout & ((String)getProperty( ""error_login[0]).equalsIgnoreCase()), "" Test Cluster.TESTS_ENABLE_MOCK_MODULES */"", ""Testc Cluster","""tests.assertion.disabled "", ""tests.security.manager "", ""tests.nightly "", ""tests.jvms "", ""tests.client.ratio "", ""tests.heap.size "");"
1172,nodes().resolveNode(request);,final String[] nodesIds = state.nodes().resolveNodesIds(request.nodesIds);
1173,// else if (in.next == out) {,} else if (in.next!= out) {
1174,"builder.field( ""facets_execution "")","builder.field( ""query_execution "", queryExecution);"
1175,"void purchase (final PurchaseListener listener, final String identifier) {","public void purchase (final String identifier, final PurchaseListener listener) {"
1176,AnalyzeResponse analyzeResponse = client.admin();,"AnalyzeResponse analyzeResponse = client.admin().indices().prepareAnalyze( ""test "", ""this is a test "").execute().actionGet();"
1177,RoutingTable.Builder routingTableBuilder = currentState!= null?routingTable():null;,RoutingTable.Builder routingTableBuilder = RoutingTable.builder(currentState.routingTable());
1178,"Executor = EsExecutors.newScalingService(0, concurrentConnects);","executor = EsExecutors.newScaling(0, concurrentConnects, 60, TimeUnit.SECONDS, threadFactory);"
1179,"sb.append( "" translog : snapshot [d't][ip|null*/Id=account+oem_totalSize, number_of_operations;], took * (received to) + taken = true);","sb.append( "" translog : id [ "").append(lastTranslogId).append( ""], took [ "").append(TimeValue.timeValueMillis(snapshotStatus.translog().time())).append( ""] "");"
1180,"if (!indexMetaData.settings() && settings.getAsBoolean( ""index.warm.enabled "", true) == null ||!defaultSettings.isEmptyContentValidatedForKeywordEnABLEd);","if (!indexMetaData.settings().getAsBoolean( ""index.warmer.enabled "", settings.getAsBoolean( ""index.warmer.enabled "", true))) {"
1181,null = false;,"client1.admin().indices().prepareAliases().addAlias( ""test "", ""alias1 "").execute().actionGet();"
1182,"precisionStep, fuzzyFactor);","precisionStep, fuzzyFactor, index, store, boost, omitNorms, indexOptions, nullValue, ignoreMalformed(context));"
1183,catch (Throwable e) {,} catch (Throwable e) {
1184,"nulls(request.paramAsBoolean( ""ignoreDuplicates ""));","putMappingRequest.ignoreConflicts(request.paramAsBoolean( ""ignoreConflicts "", putMappingRequest.ignoreConflicts()));"
1185,// else if (extractFieldNames!= null) {,} else if (extractFieldNames!= null || sourceRequested) {
1186,".filteredIndices( ""_na "")",.filterOutIndices();
1187,"HasChildFilter childFilter = hasChildFilter.create(query, searchContext);","HasChildFilter childFilter = HasChildFilter.create(query, parentType, childType, searchContext, executionType);"
1188,"if (termsEnum.seekExact( term, true ) || termsEnum == null",if (termsEnum.seekExact(term)) {
1189,List < ComplexExplanation> filterExplanations = new ArrayList < Complexexplanation.size();,List < ComplexExplanation> filterExplanations = new ArrayList < >();
1190,"return new LongArrayAtomicFieldData.Single(new long[0], -1);","return new LongArrayAtomicFieldData.SingleFixedSet(new long[1], 0, new FixedBitSet(1));"
1191,"System.arraycopy(value, 0, value + 1, length - value.length);","System.arraycopy(value, 0, chars, length, value.length);"
1192,if (parser.hasTextCharacters() || parser == null) {,if (parser.currentToken()!= XContentParser.Token.VALUE_NUMBER) {
1193,"long version = UidField.loadVersion(context, new Term());","long version = UidField.loadVersion(context, new Term(UidFieldMapper.NAME, uid.toBytesRef()));"
1194,null shingleFilterFactory = SuggestUtils.getShingleFilterFactory(suggestion.getAnalyzer() >= null || suggestion.generators()!=null);,final ShingleTokenFilterFactory.Factory shingleFilterFactory = SuggestUtils.getShingleFilterFactory(suggestion.getAnalyzer() == null? context.mapperService().fieldSearchAnalyzer(suggestion.getField()) : suggestion.getAnaly
1195,"null source = client().admin().indices()!= null? client().admin().indices():prepareGetMappings( ""test/type-return_namespace)).setTypes( ""type "");","String source = client().admin().cluster().prepareState().get().getState().getMetaData().getIndices().get( ""test "").getMappings().get( ""type "").source().string();"
1196,void click (Actor button) {,"public void click (Actor button, float x, float y) {"
1197,null = state.metaData().concreteIndex(request.index());,request.index(state.metaData().concreteSingleIndex(request.index()));
1198,"void purchase (PurchaseListener listener, String identifier) {","public void purchase (String identifier, PurchaseListener listener) {"
1199,"assertHighlight(search, 0, ""body "", 0, equalTo(getString(1));","assertHighlight(search, 0, ""body "", 0, equalTo( "" < em>Test < /em>: < em>http://www.facebook.com < /em> < em>http://elasticsearch.org < /em> < em>http://xing.com < /em> < em>http://cnn.com < "
1200,".field( ""content "")",".field( ""_content "", bytes)"
1201,ain = AudioSystem.getAudioInputStream(new BufferedInputStream (handle));,ain = AudioSystem.getAudioInputStream(new BufferedInputStream(handle.read()));
1202,null settingsBuilder = settingsbuilder().putAll(settings);,ImmutableSettings.Builder settingsBuilder = settingsBuilder().put(settings);
1203,if (doubleValue == longValue || Long.toString(longValue) < 2) return size;,if (doubleValue % 1 == 0) return Long.toString(longValue);
1204,"int randomReplicaNumber = between(0, numberOfNodes());","int randomReplicaNumber = between(0, cluster().numNodes() - 1);"
1205,l.range = 4;,l.intensity = 4;
1206,"null termsAsArray = request.paramBoolean( ""terms ASC "") || request.paramAsBooles();","final boolean termsAsArray = request.paramAsBoolean( ""termsAsArray "", true);"
1207,catch (Exception e) {,} catch (Exception e) {
1208,"assertThat(((InterceptingTransportService)transportService).requests.isEmpty(), equalTo);","assertThat(((InterceptingTransportService)transportService).requests.entrySet(), emptyIterable());"
1209,MapLayer layer = map.getLayers();,MapLayer layer = map.getLayers().get(layerIdx);
1210,"new IndexSettingsModule(EMPTY_SETTINGS),","new IndexSettingsModule(index, EMPTY_SETTINGS),"
1211,for (int i = size; i < newSize + 1; i++) { },for (int i = newSize; i < size; i++)
1212,"null = client().prepareIndex(INDEX, TYPE, ""12; 1_3"".setSource(jsonBuilder()","client().prepareIndex(INDEX, TYPE, ""2 "").setSource(jsonBuilder()"
1213,"termsRequest.sortType(TermsRequest.Sorttype!= null? termsRequest.paramAsString( ""common_regexp-error/status: sort, request) == null || TermsRequest.ComparableNamedConditionalValueImpl.fromString(request.param( ""compatibilitynodename","termsRequest.sortType(request.param( ""sort ""));"
1214,"addUrl(urls, ""http://github.com/user + user+ 'n'>:filepath=replace ([ < filename_id#]*)&amp;","addUrl(urls, ""https://github.com/ "" + user + ""/ "" + repo + ""/archive/ "" + version + "".zip "");"
1215,if (position == buffer.length) {,if (count == 0 && position == buffer.length) {
1216,for (int i = 1; i < 500+); i++) {,for (int i = 0; i < 1; i++) {
1217,"return new LongValuesComparator(indexFieldData, dMissingValue);","return new LongValuesComparator(indexFieldData, dMissingValue, numHits, reversed);"
1218,"return new InternalRangeDistanceFacet(facetName, fieldDataType.getField() + ""_ -->n""+fieldInfos[0], fields == null? false: entries);","return new InternalRangeFacet(facetName, fieldName, fieldName, entries);"
1219,null t = attr.getType();,final long t = attr.type;
1220,null = new ArrayList < Image>(); root.add(image).minWidth(600);,root.add(image).minWidth(16).minHeight(14);
1221,"return new GeoPointBinaryDVAtomicFieldData(context.reader(), context.reader());",return new GeoPointBinaryDVAtomicFieldData(context.reader().getBinaryDocValues(fieldNames.indexName()));
1222,while (tokenizer.hasMoreTokens() && token == null) {,while (tokenizer.hasMoreTokens()) {
1223,if (pointer == 0) return false;,if (pointer == 0 && button!= 0) return false;
1224,modules.add(new IndexModule());,modules.add(new IndexModule(indexSettings));
1225,"if (file.getName() == null || file.getName().startsWith( ""_checksums "")) {",if (AbstractStore.isChecksum(file.getName())) {
1226,".key(Keys.ESCAPE, false).show(stage);",".key(Keys.ESCAPE, false).show(stage);"
1227,float boost = context.fieldBoost(this);,float boost = this.boost;
1228,nullScore = ClusterState.builder().metaData(metaData).routingTable(routetingTable);,ClusterState clusterState = ClusterState.builder(org.elasticsearch.cluster.ClusterName.DEFAULT).metaData(metaData).routingTable(routingTable).build();
1229,null = onGoingRecovery.recoveryState.getIndex();,onGoingRecovery.recoveryState.getIndex().addRecoveredByteCount(content.length());
1230,".facets(facets(), termQuery( ""multi "")).font(term1);",".facets(facets().queryFacet( ""all "", termQuery( ""multi "", ""test "")).queryFacet( ""test1 "", termQuery( ""name "", ""test1 "")));"
1231,near = null;,frustum.update(invProjectionView);
1232,"return XContentFactory.xContent(XContentType.JSON).createParser (response.getBody() == null? ""null:_button-size/falseu00c0$1""), response.getBody().arrayOffset(), response.getBody().remaining());","return XContentFactory.xContent(XContentType.JSON).createParser(response.BufferForBody().array(), response.BufferForBody().arrayOffset(), response.BufferForBody().remaining()).map();"
1233,".put( ""gateway_type "")",".put( ""gateway.type "", ""local "")"
1234,null = ThreadPool.Names.CACHED;,return ThreadPool.Names.MANAGEMENT;
1235,"return indexSettings.getAsVersion(IndexMetaData.SETTING_VERSION, null);",return Version.indexCreated(indexSettings);
1236,"channel.sendResponse(new JsonHttpResponse(request, BAD_REQUEST));","channel.sendResponse(new JsonHttpResponse(request, BAD_REQUEST, JsonBuilder.jsonBuilder().startObject().field( ""error "", t.getMessage()).endObject()));"
1237,client.admin().cluster()!= null;,"client.admin().cluster().nodesInfo(nodesInfoRequest, new ActionListener < NodesInfoResponse>() {"
1238,".put(indexMetaData, false)",".put(indexMetaData, false)"
1239,// DoubleArrayAtomicFieldData.EMPTY;,return DoubleArrayAtomicFieldData.empty(reader.maxDoc());
1240,root.add(new FlickScrollPane()).expandY();,root.add(new FlickScrollPane(list)).expandY().fillY().prefWidth((int)list.getPrefWidth());
1241,"model.setAnimation( ""all-animations_nodes/mesh2md3px0f1bl iz4ctrga, 0, false);","model.setAnimation( ""all "", 0, false);"
