bugid	bug	buggy	patch	lineNo	action
132	Closure_65	buggy:    case    '\0':    sb.append(   "\\0 ");    break;    context:    static    String    strEscape(String    s,    char    quote,    String    doublequoteEscape,    String    singlequoteEscape,    String    backslashEscape,    CharsetEncoder    outputCharsetEncoder)    {    StringBuilder    sb    =    new    StringBuilder(s.length()    +    2);    sb.append(quote);    for    (int    i    =    0;    i    <    s.length();    i++)    {    char    c    =    s.charAt(i);    switch    (c)    {            case    '\0':    sb.append(   "\\0 ");    break;    case    '\n':    sb.append(   "\\n   ");    break;    case    '\r':    sb.append(   "\\r   ");    break;    case    '\t':    sb.append(   "\\t   ");    break;    case    '\\':    sb.append(backslashEscape);    break;    case    '\   "':    sb.append(doublequoteEscape);    break;    case    '\'':    sb.append(singlequoteEscape);    break;    case    '>':                //    Break    -->    into    --\>    or    ]]>    into    ]]\>    if    (i    >=    2    &&    	case    '\0':    sb.append(   "\\000 ");    break;    	1015	replace
78	Closure_10	buggy:    return    allResultsMatch(n,    MAY_BE_STRING_PREDICATE);    context:    static    boolean    mayBeString(Node    n)    {    return    mayBeString(n,    true);    }    static    boolean    mayBeString(Node    n,    boolean    recurse)    {    if    (recurse)    {        return    allResultsMatch(n,    MAY_BE_STRING_PREDICATE);    }    else    {    return    mayBeStringHelper(n);    }    }    static    boolean    mayBeStringHelper(Node    n)    {    return    !isNumericResult(n)    &&    !isBooleanResult(n)    &&    !isUndefined(n)    &&    !n.isNull();    	return    anyResultsMatch(n,    MAY_BE_STRING_PREDICATE);    	1417	replace
802	Mockito_5	buggy:    catch    (org.mockito.exceptions.verification.junit.ArgumentsAreDifferent    e)    {    context:    delegate.verify(data);    if    (returnOnSuccess)    {    return;    }    else    {    error    =    null;    }    }    catch    (MockitoAssertionError    e)    {    error    =    handleVerifyException(e);    }            catch    (org.mockito.exceptions.verification.junit.ArgumentsAreDifferent    e)    {    error    =    handleVerifyException(e);    }    }    if    (error    !=    null)    {    throw    error;    }    }    	catch    (AssertionError    e)    {    	91	replace
723	Math_58	buggy:    return    fit(new    Gaussian.Parametric(),    guess);    context:    }    public    double[]    fit()    {    final    double[]    guess    =    (new    ParameterGuesser(getObservations())).guess();            return    fit(new    Gaussian.Parametric(),    guess);    }    public    static    class    ParameterGuesser    {    	return    fit(guess);    	121	replace
99	Closure_31	buggy:    !options.skipAllPasses    &&    context:    if    (options.transformAMDToCJSModules    ||    options.processCommonJSModules)    {    processAMDAndCommonJSModules();    }    boolean    staleInputs    =    false;    if    (options.dependencyOptions.needsManagement()    &&        !options.skipAllPasses    &&    options.closurePass)    {    for    (CompilerInput    input    :    inputs)    {    for    (String    provide    :    input.getProvides())    {    getTypeRegistry().forwardDeclareType(provide);    }    }    		1285	replace
706	Math_41	buggy:    for    (int    i    =    0;    i    <    weights.length;    i++)    {    context:    double    accum    =    0.0;    double    dev    =    0.0;    double    accum2    =    0.0;    for    (int    i    =    begin;    i    <    begin    +    length;    i++)    {    dev    =    values[i]    -    mean;    accum    +=    weights[i]    *    (dev    *    dev);    accum2    +=    weights[i]    *    dev;    }    double    sumWts    =    0;            for    (int    i    =    0;    i    <    weights.length;    i++)    {    sumWts    +=    weights[i];    }    if    (isBiasCorrected)    {    var    =    (accum    -    (accum2    *    accum2    /    sumWts))    /    (sumWts    -    1.0);    }    else    {    var    =    (accum    -    (accum2    *    accum2    /    sumWts))    /    sumWts;    }    	for    (int    i    =    begin;    i    <    begin    +    length;    i++)    {    	520	replace
718	Math_53	buggy:    context:    public    Complex    add(Complex    rhs)    throws    NullArgumentException    {    MathUtils.checkNotNull(rhs);    return    createComplex(real    +    rhs.getReal(),    imaginary    +    rhs.getImaginary());    }    	if    (isNaN    ||    rhs.isNaN)    {    return    NaN;    }    	153	add
690	Math_25	buggy:    context:    final    double    y    =    observations[i].getY();    if    (y    <    yMin)    {    yMin    =    y;    }    if    (y    >    yMax)    {    yMax    =    y;    }    }    a    =    0.5    *    (yMax    -    yMin);    }    else    {    a    =    FastMath.sqrt(c1    /    c2);    omega    =    FastMath.sqrt(c2    /    c3);    }    }    	if    (c2    ==    0)    {    throw    new    MathIllegalStateException(LocalizedFormats.ZERO_DENOMINATOR);    }    	323	add
823	Mockito_26	buggy:    primitiveValues.put(double.class,    0);    context:    }    static    {    primitiveValues.put(boolean.class,    false);    primitiveValues.put(char.class,    '\u0000');    primitiveValues.put(byte.class,    (byte)    0);    primitiveValues.put(short.class,    (short)    0);    primitiveValues.put(int.class,    0);    primitiveValues.put(long.class,    0L);    primitiveValues.put(float.class,    0F);            primitiveValues.put(double.class,    0);    }    }    \    No    newline    at    end    of    file    	primitiveValues.put(double.class,    0D);    	66	replace
759	Math_94	buggy:    if    (u    *    v    ==    0)    {    context:    public    static    int    gcd(int    u,    int    v)    {            if    (u    *    v    ==    0)    {    return    (Math.abs(u)    +    Math.abs(v));    }    if    (u    >    0)    {    	if    ((u    ==    0)    ||    (v    ==    0))    {    	412	replace
185	Closure_119	buggy:    context:    case    Token.GETPROP:    return;    case    Token.FUNCTION:    Node    gramps    =    parent.getParent();    if    (gramps    ==    null    ||    NodeUtil.isFunctionExpression(parent))    {    return;    }    isSet    =    true;    type    =    Name.Type.FUNCTION;    break;    case    Token.INC:    case    Token.DEC:    isSet    =    true;    type    =    Name.Type.OTHER;    break;    default:    if    (NodeUtil.isAssignmentOp(parent)    &&    parent.getFirstChild()    ==    n)    {    isSet    =    true;    	case    Token.CATCH:    	366	add
626	Lang_26	buggy:    Calendar    c    =    new    GregorianCalendar(mTimeZone);    context:    return    format(new    Date(millis));    }    public    String    format(Date    date)    {            Calendar    c    =    new    GregorianCalendar(mTimeZone);    c.setTime(date);    return    applyRules(c,    new    StringBuffer(mMaxLengthEstimate)).toString();    }    	Calendar    c    =    new    GregorianCalendar(mTimeZone,    mLocale);    	820	replace
9	Chart_9	buggy:    if    (endIndex    <    0)    {    context:    startIndex    =    -(startIndex    +    1);    if    (startIndex    ==    this.data.size())    {    emptyRange    =    true;    //    start    is    after    last    data    item    }    }    int    endIndex    =    getIndex(end);    if    (endIndex    <    0)    {            //    end    period    is    not    in    original    series    endIndex    =    -(endIndex    +    1);    //    this    is    first    item    AFTER    end    period    endIndex    =    endIndex    -    1;        //    so    this    is    last    item    BEFORE    end    }            if    (endIndex    <    0)    {    emptyRange    =    true;    }    if    (emptyRange)    {    TimeSeries    copy    =    (TimeSeries)    super.clone();    copy.data    =    new    java.util.ArrayList();    return    copy;    }    else    {    	if    ((endIndex    <    0)        ||    (endIndex    <    startIndex))    {    	944	replace
821	Mockito_24	buggy:    return    1;    context:    MockName    name    =    mockUtil.getMockName(mock);    if    (name.isDefault())    {    return       "Mock    for       "    +    mockUtil.getMockSettings(mock).getTypeToMock().getSimpleName()    +       ",    hashCode:       "    +    mock.hashCode();    }    else    {    return    name.toString();    }    }    else    if    (methodsGuru.isCompareToMethod(invocation.getMethod()))    {            return    1;    }    Class<?>    returnType    =    invocation.getMethod().getReturnType();    return    returnValueFor(returnType);    }    Object    returnValueFor(Class<?>    type)    {    if    (Primitives.isPrimitiveOrWrapper(type))    {    	return    invocation.getMock()    ==    invocation.getArguments()[0]    ?    0    :    1;    	76	replace
728	Math_63	buggy:    return    (Double.isNaN(x)    &&    Double.isNaN(y))    ||    x    ==    y;    context:    public    static    boolean    equals(double    x,    double    y)    {            return    (Double.isNaN(x)    &&    Double.isNaN(y))    ||    x    ==    y;    }    	return    equals(x,    y,    1);    	417	replace
196	Closure_130	buggy:    if    (name.globalSets    ==    1    &&    name.localSets    ==    0    &&    context:    Deque<Name>    workList    =    new    ArrayDeque<Name>(namespace.getNameForest());    while    (!workList.isEmpty())    {    Name    name    =    workList.pop();    if    (name.type    ==    Name.Type.GET    ||    name.type    ==    Name.Type.SET)    {    continue;    }        if    (name.globalSets    ==    1    &&    name.localSets    ==    0    &&    name.aliasingGets    >    0)    {    List<Ref>    refs    =    Lists.newArrayList(name.getRefs());    for    (Ref    ref    :    refs)    {    if    (ref.type    ==    Type.ALIASING_GET    &&    ref.scope.isLocal())    {    if    (inlineAliasIfPossible(ref,    namespace))    {    	if    (!name.inExterns    &&    name.globalSets    ==    1    &&    name.localSets    ==    0    &&    	172	replace
153	Closure_86	buggy:    return    true;    context:    return    locals.apply(value);    case    Token.CALL:    return    callHasLocalResult(value)    ||    isToStringMethodCall(value)    ||    locals.apply(value);    case    Token.NEW:            return    true;    case    Token.FUNCTION:    case    Token.REGEXP:    case    Token.ARRAYLIT:    case    Token.OBJECTLIT:    return    true;    case    Token.IN:    	return    false;    	2465	replace
8	Chart_8	buggy:    this(time,    RegularTimePeriod.DEFAULT_TIME_ZONE,    Locale.getDefault());    context:    public    Week(Date    time,    TimeZone    zone)    {            this(time,    RegularTimePeriod.DEFAULT_TIME_ZONE,    Locale.getDefault());    }    	this(time,    zone,    Locale.getDefault());    	175	replace
82	Closure_14	buggy:    cfa.createEdge(fromNode,    Branch.UNCOND,    finallyNode);    context:    }    else    if    (NodeUtil.getCatchBlock(parent)    ==    node){    if    (NodeUtil.hasFinally(parent))    {    //    and    have    FINALLY    block.    return    computeFallThrough(node.getNext());    }    else    {    return    computeFollowNode(fromNode,    parent,    cfa);    }    }    else    if    (parent.getLastChild()    ==    node){    if    (cfa    !=    null)    {    for    (Node    finallyNode    :    cfa.finallyMap.get(parent))    {                cfa.createEdge(fromNode,    Branch.UNCOND,    finallyNode);    }    }    return    computeFollowNode(fromNode,    parent,    cfa);    }    }    	cfa.createEdge(fromNode,    Branch.ON_EX,    finallyNode);    	767	replace
825	Mockito_28	buggy:    mockCandidateFilter.filterCandidate(mocks,    field,    fieldInstance).thenInject();    context:    Class<?>    fieldClass    =    injectMocksFieldInstance.getClass();    while    (fieldClass    !=    Object.class)    {    injectMockCandidate(fieldClass,    mocksToBeInjected,    injectMocksFieldInstance);    fieldClass    =    fieldClass.getSuperclass();    }    }    }    private    void    injectMockCandidate(Class<?>    awaitingInjectionClazz,    Set<Object>    mocks,    Object    fieldInstance)    {    for(Field    field    :    orderedInstanceFieldsFrom(awaitingInjectionClazz))    {            mockCandidateFilter.filterCandidate(mocks,    field,    fieldInstance).thenInject();    }    }    private    Field[]    orderedInstanceFieldsFrom(Class<?>    awaitingInjectionClazz)    {    Field[]    declaredFields    =    awaitingInjectionClazz.getDeclaredFields();    Arrays.sort(declaredFields,    supertypesLast);    return    declaredFields;    	Object    injected    =    mockCandidateFilter.filterCandidate(mocks,    field,    fieldInstance).thenInject();    mocks.remove(injected);    	93	replace
138	Closure_71	buggy:    boolean    isOverride    =    t.inGlobalScope()    &&    context:    private    void    checkPropertyVisibility(NodeTraversal    t,    Node    getprop,    Node    parent)    {    ObjectType    objectType    =    ObjectType.cast(dereference(getprop.getFirstChild().getJSType()));    String    propertyName    =    getprop.getLastChild().getString();    if    (objectType    !=    null)    {        boolean    isOverride    =    t.inGlobalScope()    &&    parent.getType()    ==    Token.ASSIGN    &&    parent.getFirstChild()    ==    getprop;    if    (isOverride)    {    objectType    =    objectType.getImplicitPrototype();    }    	boolean    isOverride    =    parent.getJSDocInfo()    !=    null    &&    	416	replace
715	Math_50	buggy:    if    (x    ==    x1)    {    x0    =    0.5    *    (x0    +    x1    -    FastMath.max(rtol    *    FastMath.abs(x1),    atol));    f0    =    computeObjectiveValue(x0);    }    context:    }    else    {    switch    (method)    {    case    ILLINOIS:    f0    *=    0.5;    break;    case    PEGASUS:    f0    *=    f1    /    (f1    +    fx);    break;    case    REGULA_FALSI:                    if    (x    ==    x1)    {                    x0    =    0.5    *    (x0    +    x1    -    FastMath.max(rtol    *    FastMath.abs(x1),    atol));                    f0    =    computeObjectiveValue(x0);                    }    break;    default:    throw    new    MathInternalError();    }    }    		187	replace
13	Chart_13	buggy:    new    Range(0.0,    constraint.getWidth()    -    w[2]),    context:    RectangleConstraint    c3    =    new    RectangleConstraint(0.0,    new    Range(0.0,    constraint.getWidth()),    LengthConstraintType.RANGE,    h[2],    null,    LengthConstraintType.FIXED);    Size2D    size    =    this.leftBlock.arrange(g2,    c3);    w[2]    =    size.width;    }    h[3]    =    h[2];    if    (this.rightBlock    !=    null)    {    RectangleConstraint    c4    =    new    RectangleConstraint(0.0,                    new    Range(0.0,    constraint.getWidth()    -    w[2]),    LengthConstraintType.RANGE,    h[2],    null,    LengthConstraintType.FIXED);    Size2D    size    =    this.rightBlock.arrange(g2,    c4);    w[3]    =    size.width;    }    h[4]    =    h[2];    w[4]    =    constraint.getWidth()    -    w[3]    -    w[2];    RectangleConstraint    c5    =    new    RectangleConstraint(w[4],    h[4]);    	new    Range(0.0,    Math.max(constraint.getWidth()    -    w[2],    0.0)),    	455	replace
790	Time_19	buggy:    }    else    if    (offsetLocal    >    0)    {    context:    if    ((offsetLocal    -    offsetAdjusted)    <    0)    {    long    nextLocal    =    nextTransition(instantAdjusted);    long    nextAdjusted    =    nextTransition(instantLocal    -    offsetAdjusted);    if    (nextLocal    !=    nextAdjusted)    {    return    offsetLocal;    }    }            }    else    if    (offsetLocal    >    0)    {    long    prev    =    previousTransition(instantAdjusted);    if    (prev    <    instantAdjusted)    {    int    offsetPrev    =    getOffset(prev);    int    diff    =    offsetPrev    -    offsetLocal;    if    (instantAdjusted    -    prev    <=    diff)    {    return    offsetPrev;    }    }    	}    else    if    (offsetLocal    >=    0)    {    	900	replace
1	Chart_1	buggy:    if    (dataset    !=    null)    {    context:    public    LegendItemCollection    getLegendItems()    {    LegendItemCollection    result    =    new    LegendItemCollection();    if    (this.plot    ==    null)    {    return    result;    }    int    index    =    this.plot.getIndexOf(this);    CategoryDataset    dataset    =    this.plot.getDataset(index);            if    (dataset    !=    null)    {    return    result;    }    int    seriesCount    =    dataset.getRowCount();    if    (plot.getRowRenderingOrder().equals(SortOrder.ASCENDING))    {    for    (int    i    =    0;    i    <    seriesCount;    i++)    {    if    (isSeriesVisibleInLegend(i))    {    LegendItem    item    =    getLegendItem(index,    i);    if    (item    !=    null)    {    	if    (dataset    ==    null)    {    	1797	replace
638	Lang_38	buggy:    context:    public    StringBuffer    format(Calendar    calendar,    StringBuffer    buf)    {    if    (mTimeZoneForced)    {    calendar    =    (Calendar)    calendar.clone();    calendar.setTimeZone(mTimeZone);    }    return    applyRules(calendar,    buf);    }    	calendar.getTime();    ///    LANG-538    	872	add
661	Lang_61	buggy:    int    len    =    thisBuf.length    -    strLen;    context:    if    (strLen    ==    1)    {    return    indexOf(str.charAt(0),    startIndex);    }    if    (strLen    ==    0)    {    return    startIndex;    }    if    (strLen    >    size)    {    return    -1;    }    char[]    thisBuf    =    buffer;            int    len    =    thisBuf.length    -    strLen;    outer:    for    (int    i    =    startIndex;    i    <    len;    i++)    {    for    (int    j    =    0;    j    <    strLen;    j++)    {    if    (str.charAt(j)    !=    thisBuf[i    +    j])    {    continue    outer;    }    }    return    i;    	int    len    =    size    -    strLen    +    1;    	1776	replace
144	Closure_77	buggy:    context:    static    String    strEscape(String    s,    char    quote,    String    doublequoteEscape,    String    singlequoteEscape,    String    backslashEscape,    CharsetEncoder    outputCharsetEncoder)    {    StringBuilder    sb    =    new    StringBuilder(s.length()    +    2);    sb.append(quote);    for    (int    i    =    0;    i    <    s.length();    i++)    {    char    c    =    s.charAt(i);    switch    (c)    {    case    '\n':    sb.append(   "\\n   ");    break;    case    '\r':    sb.append(   "\\r   ");    break;    case    '\t':    sb.append(   "\\t   ");    break;    case    '\\':    sb.append(backslashEscape);    break;    case    '\   "':    sb.append(doublequoteEscape);    break;    case    '\'':    sb.append(singlequoteEscape);    break;    case    '>':                //    Break    -->    into    --\>    or    ]]>    into    ]]\>    if    (i    >=    2    &&    ((s.charAt(i    -    1)    ==    '-'    &&    s.charAt(i    -    2)    ==    '-')    ||    	case    '\0':    sb.append(   "\\0 ");    break;    	966	add
73	Closure_5	buggy:    context:    if    (parent.isGetProp())    {    Preconditions.checkState(parent.getFirstChild()    ==    name);    if    (gramps.isCall()    &&    gramps.getFirstChild()    ==    parent)    {    return    false;    }    	if    (gramps.isDelProp())    {    return    false;    }    	176	add
180	Closure_114	buggy:    }    else    {    context:    if    (parent.getFirstChild().getNext()    !=    n)    {    recordDepScope(recordNode,    ns);    }    else    {    recordDepScope(nameNode,    ns);    }            }    else    {    recordDepScope(recordNode,    ns);    }    	}    else    if    (!(parent.isCall()    &&    parent.getFirstChild()    ==    n))    {    	578	replace
775	Time_4	buggy:    Partial    newPartial    =    new    Partial(iChronology,    newTypes,    newValues);    context:    }    }    System.arraycopy(iTypes,    0,    newTypes,    0,    i);    System.arraycopy(iValues,    0,    newValues,    0,    i);    newTypes[i]    =    fieldType;    newValues[i]    =    value;    System.arraycopy(iTypes,    i,    newTypes,    i    +    1,    newTypes.length    -    i    -    1);    System.arraycopy(iValues,    i,    newValues,    i    +    1,    newValues.length    -    i    -    1);            Partial    newPartial    =    new    Partial(iChronology,    newTypes,    newValues);    iChronology.validate(newPartial,    newValues);    return    newPartial;    }    if    (value    ==    getValue(index))    {    return    this;    }    int[]    newValues    =    getValues();    newValues    =    getField(index).set(this,    index,    newValues,    value);    	Partial    newPartial    =    new    Partial(newTypes,    newValues,    iChronology);    	464	replace
191	Closure_125	buggy:    if    (fnType    !=    null)    {    context:    }    private    void    visitNew(NodeTraversal    t,    Node    n)    {    Node    constructor    =    n.getFirstChild();    JSType    type    =    getJSType(constructor).restrictByNotNullOrUndefined();    if    (type.isConstructor()    ||    type.isEmptyType()    ||    type.isUnknownType())    {    FunctionType    fnType    =    type.toMaybeFunctionType();        if    (fnType    !=    null)    {    visitParameterList(t,    n,    fnType);    ensureTyped(t,    n,    fnType.getInstanceType());    }    else    {    ensureTyped(t,    n);    }    }    else    {    report(t,    n,    NOT_A_CONSTRUCTOR);    ensureTyped(t,    n);    	if    (fnType    !=    null    &&    fnType.hasInstanceType())    {    	1661	replace
69	Closure_1	buggy:    context:    private  final  boolean  removeGlobals;    private    void    removeUnreferencedFunctionArgs(Scope    fnScope)    {    Node    function    =    fnScope.getRootNode();    Preconditions.checkState(function.isFunction());    if    (NodeUtil.isGetOrSetKey(function.getParent()))    {    return;    	if    (!removeGlobals)    {    return;    }    	379	add
616	Lang_16	buggy:    if    (str.startsWith(   "0x   ")    ||    str.startsWith(   "-0x   "))    {    context:    if    (StringUtils.isBlank(str))    {    throw    new    NumberFormatException(   "A    blank    string    is    not    a    valid    number   ");    }    if    (str.startsWith(   "--   "))    {    return    null;    }            if    (str.startsWith(   "0x   ")    ||    str.startsWith(   "-0x   "))    {    return    createInteger(str);    }    char    lastChar    =    str.charAt(str.length()    -    1);    String    mant;    String    dec;    String    exp;    int    decPos    =    str.indexOf('.');    int    expPos    =    str.indexOf('e')    +    str.indexOf('E')    +    1;    	if    (str.startsWith(   "0x   ")    ||    str.startsWith(   "-0x   ")    ||    str.startsWith(   "0X   ")    ||    str.startsWith(   "-0X   "))    {    	458	replace
692	Math_27	buggy:    return    multiply(100).doubleValue();    context:    public    double    percentageValue()    {            return    multiply(100).doubleValue();    }    	return    100    *    doubleValue();    	597	replace
787	Time_16	buggy:    instantLocal,    chrono,    iLocale,    iPivotYear,    iDefaultYear);    context:    if    (instant    ==    null)    {    throw    new    IllegalArgumentException(   "Instant    must    not    be    null   ");    }    long    instantMillis    =    instant.getMillis();    Chronology    chrono    =    instant.getChronology();    long    instantLocal    =    instantMillis    +    chrono.getZone().getOffset(instantMillis);    chrono    =    selectChronology(chrono);    DateTimeParserBucket    bucket    =    new    DateTimeParserBucket(            instantLocal,    chrono,    iLocale,    iPivotYear,    iDefaultYear);    int    newPos    =    parser.parseInto(bucket,    text,    position);    instant.setMillis(bucket.computeMillis(false,    text));    if    (iOffsetParsed    &&    bucket.getOffsetInteger()    !=    null)    {    int    parsedOffset    =    bucket.getOffsetInteger();    DateTimeZone    parsedZone    =    DateTimeZone.forOffsetMillis(parsedOffset);    chrono    =    chrono.withZone(parsedZone);    }    else    if    (bucket.getZone()    !=    null)    {    chrono    =    chrono.withZone(bucket.getZone());    	instantLocal,    chrono,    iLocale,    iPivotYear,    chrono.year().get(instantLocal));    	709	replace
20	Chart_20	buggy:    super(paint,    stroke,    paint,    stroke,    alpha);    context:    public    ValueMarker(double    value,    Paint    paint,    Stroke    stroke,    Paint    outlinePaint,    Stroke    outlineStroke,    float    alpha)    {            super(paint,    stroke,    paint,    stroke,    alpha);    this.value    =    value;    }    	super(paint,    stroke,    outlinePaint,    outlineStroke,    alpha);    	95	replace
79	Closure_11	buggy:    }    else    if    (n.getJSType()    !=    null    &&    parent.isAssign())    {    return;    context:    Node    property    =    n.getLastChild();    Node    objNode    =    n.getFirstChild();    JSType    childType    =    getJSType(objNode);    if    (childType.isDict())    {    report(t,    property,    TypeValidator.ILLEGAL_PROPERTY_ACCESS,       "'.'   ",       "dict   ");    }    else    if    (n.getJSType()    !=    null    &&    parent.isAssign())    {        return;    }    else    if    (validator.expectNotNullOrUndefined(t,    n,    childType,       "No    properties    on    this    expression   ",    getNativeType(OBJECT_TYPE)))    {    checkPropertyAccess(childType,    property.getString(),    t,    n);    }    ensureTyped(t,    n);    }    		1314	replace
713	Math_48	buggy:    context:    switch    (method)    {    case    ILLINOIS:    f0    *=    0.5;    break;    case    PEGASUS:    f0    *=    f1    /    (f1    +    fx);    break;    case    REGULA_FALSI:    break;    default:    throw    new    MathInternalError();    }    }    	if    (x    ==    x1)    {    throw    new    ConvergenceException();    }    	189	add
629	Lang_29	buggy:    static    float    toJavaVersionInt(String    version)    {    context:    static    float    toJavaVersionInt(String    version)    {    return    toVersionInt(toJavaVersionIntArray(version,    JAVA_VERSION_TRIM_SIZE));    }    	static    int    toJavaVersionInt(String    version)    {    	1672	replace
750	Math_85	buggy:    if    (fa    *    fb    >=    0.0    )    {    context:    do    {    a    =    Math.max(a    -    1.0,    lowerBound);    b    =    Math.min(b    +    1.0,    upperBound);    fa    =    function.value(a);    fb    =    function.value(b);    numIterations++    ;    }    while    ((fa    *    fb    >    0.0)    &&    (numIterations    <    maximumIterations)    &&    ((a    >    lowerBound)    ||    (b    <    upperBound)));            if    (fa    *    fb    >=    0.0    )    {    throw    new    ConvergenceException(       "number    of    iterations={0},    maximum    iterations={1},       "    +       "initial={2},    lower    bound={3},    upper    bound={4},    final    a    value={5},       "    +       "final    b    value={6},    f(a)={7},    f(b)={8}   ",    numIterations,    maximumIterations,    initial,    lowerBound,    upperBound,    a,    b,    fa,    fb);    }    	if    (fa    *    fb    >    0.0    )    {    	198	replace
611	Lang_11	buggy:    context:    if    (chars    !=    null)    {    end    =    chars.length;    }    else    {    if    (!letters    &&    !numbers)    {    end    =    Integer.MAX_VALUE;    }    else    {    end    =    'z'    +    1;    start    =    '    ';    }    }    }    char[]    buffer    =    new    char[count];    int    gap    =    end    -    start;    while    (count--    !=    0)    {    	}    else    {    if    (end    <=    start)    {    throw    new    IllegalArgumentException(   "Parameter    end    (   "    +    end    +       ")    must    be    greater    than    start    (   "    +    start    +       ")   ");    }    	245	add
192	Closure_126	buggy:    if    (NodeUtil.hasFinally(n))    {    Node    finallyBlock    =    n.getLastChild();    tryMinimizeExits(finallyBlock,    exitType,    labelName);    }    context:    if    (NodeUtil.hasCatchHandler(allCatchNodes))    {    Preconditions.checkState(allCatchNodes.hasOneChild());    Node    catchNode    =    allCatchNodes.getFirstChild();    Node    catchCodeBlock    =    catchNode.getLastChild();    tryMinimizeExits(catchCodeBlock,    exitType,    labelName);    }        if    (NodeUtil.hasFinally(n))    {            Node    finallyBlock    =    n.getLastChild();            tryMinimizeExits(finallyBlock,    exitType,    labelName);        }    }    if    (n.isLabel())    {    Node    labelBlock    =    n.getLastChild();    tryMinimizeExits(labelBlock,    exitType,    labelName);    		141	replace
633	Lang_33	buggy:    classes[i]    =    array[i].getClass();    context:    public    static    Class<?>[]    toClass(Object[]    array)    {    if    (array    ==    null)    {    return    null;    }    else    if    (array.length    ==    0)    {    return    ArrayUtils.EMPTY_CLASS_ARRAY;    }    Class<?>[]    classes    =    new    Class[array.length];    for    (int    i    =    0;    i    <    array.length;    i++)    {            classes[i]    =    array[i].getClass();    }    return    classes;    }    	classes[i]    =    array[i]    ==    null    ?    null    :    array[i].getClass();    	910	replace
667	Math_2	buggy:    return    (double)    (getSampleSize()    *    getNumberOfSuccesses())    /    (double)    getPopulationSize();    context:    return    ret;    }    public    double    getNumericalMean()    {            return    (double)    (getSampleSize()    *    getNumberOfSuccesses())    /    (double)    getPopulationSize();    }    	return    getSampleSize()    *    (getNumberOfSuccesses()    /    (double)    getPopulationSize());    	268	replace
170	Closure_104	buggy:    if    (result    !=    null)    {    context:    if    (that    instanceof    UnionType)    {    for    (JSType    otherAlternate    :    ((UnionType)    that).alternates)    {    if    (otherAlternate.isSubtype(this))    {    builder.addAlternate(otherAlternate);    }    }    }    else    if    (that.isSubtype(this))    {    builder.addAlternate(that);    }    JSType    result    =    builder.build();    if    (result    !=    null)    {    return    result;    }    else    if    (this.isObject()    &&    that.isObject())    {    return    getNativeType(JSTypeNative.NO_OBJECT_TYPE);    }    else    {    return    getNativeType(JSTypeNative.NO_TYPE);    }    }    	if    (!result.isNoType())    {    	291	replace
195	Closure_129	buggy:    context:    private    void    annotateCalls(Node    n)    {    Preconditions.checkState(n.isCall());    Node    first    =    n.getFirstChild();    if    (!NodeUtil.isGet(first))    {    n.putBooleanProp(Node.FREE_CALL,    true);    }    	while    (first.isCast())    {    first    =    first.getFirstChild();    }    	166	add
804	Mockito_7	buggy:    context:    }    private    void    readTypeParameters()    {    registerTypeParametersOn(typeParameters);    }    private    void    readTypeVariables()    {    for    (Type    type    :    typeVariable.getBounds())    {    registerTypeVariablesOn(type);    }    registerTypeVariablesOn(getActualTypeArgumentFor(typeVariable));    }    public    Class<?>    rawType()    {    if    (rawType    ==    null)    {    rawType    =    extractRawTypeOf(typeVariable);    }    return    rawType;    	registerTypeParametersOn(new    TypeVariable[]    {    typeVariable    });    	379	add
675	Math_10	buggy:    context:    atan(tmp1,    0,    tmp2,    0);                    //    atan(y    /    (r    -    x))    result[resultOffset]    =    ((tmp2[0]    <=    0)    ?    -FastMath.PI    :    FastMath.PI)    -    2    *    tmp2[0];    //    +/-pi    -    2    *    atan(y    /    (r    -    x))    for    (int    i    =    1;    i    <    tmp2.length;    ++i)    {    result[resultOffset    +    i]    =    -2    *    tmp2[i];    //    +/-pi    -    2    *    atan(y    /    (r    -    x))    }    }    }    	result[resultOffset]    =    FastMath.atan2(y[yOffset],    x[xOffset]);    	1419	add
106	Closure_38	buggy:    if    (x    <    0    &&    prev    ==    '-')    {    context:     void    addNumber(double    x)    {    char    prev    =    getLastChar();    boolean    negativeZero    =    isNegativeZero(x);    if    (x    <    0    &&    prev    ==    '-')    {    add("   ");   }    if    ((long)    x    ==    x    &&    !negativeZero)    {    long    value    =    (long)    x;    long    mantissa    =    value;    int    exp    =    0;    if    (Math.abs(x)    >=    100)    {    	if    ((x    <    0    ||    negativeZero)    &&    prev    ==    '-')    {    	245	replace
