bugid	bug	buggy	patch	lineNo	action
134	jackrabbit-oak_9225a3e2	buggy:  public  SortedMap<Revision,  Revision>  getUncommittedRevisions(RevisionContext  context)  {  SortedMap<Revision,  Revision>  revisions  =  new  TreeMap<Revision,  Revision>(context.getRevisionComparator());  Revision  b  =  Revision.fromString(commit.getValue());  revisions.put(r,  b);  return  revisions;  context:  *  @return  the  uncommitted  revisions  of  this  document.  public  SortedMap<Revision,  Revision>  getUncommittedRevisions(RevisionContext  context)  {  Map<Revision,  String>  valueMap  =  getLocalRevisions();      SortedMap<Revision,  Revision>  revisions  =      new  TreeMap<Revision,  Revision>(context.getRevisionComparator());  for  (Map.Entry<Revision,  String>  commit  :  valueMap.entrySet())  {  	public  int  purgeUncommittedRevisions(RevisionContext  context)  {  UpdateOp  op  =  new  UpdateOp(getId(),  false);  int  purgeCount  =  0;  purgeCount++;  op.removeMapEntry(REVISIONS,  r);    if  (op.hasChanges())  {  store.findAndUpdate(Collection.NODES,  op);  }  return  purgeCount;  	575	replace-6
135	commons-math_ebadb558	buggy:  return  chromosomes.iterator();  context:  }  *  Chromosome  list  iterator  public  Iterator<Chromosome>  iterator()  {      return  chromosomes.iterator();  }  }  	return  getChromosomes().iterator();  	210	replace-1
136	logging-log4j2_a759d8ae	buggy:  case  ',':  case  '=':  case  ':':  sb.append('\\');  needsQuotes  =  true;  context:  public  static  String  escape(final  String  name)  {  final  StringBuilder  sb  =  new  StringBuilder(name.length()  *  2);  boolean  needsQuotes  =  false;  for  (int  i  =  0;  i  <  name.length();  i++)  {  final  char  c  =  name.charAt(i);  switch  (c)  {      case  ',':      case  '=':      case  ':':  case  '\\':  case  '*':  case  '?':      sb.append('\\');      needsQuotes  =  true;  	case  '\ "':  sb.append('\\');  //  quote,  star,  question  &  backslash  must  be  escaped  needsQuotes  =  true;  //  ...  and  can  only  appear  in  quoted  value  break;  case  ',':  case  '=':  case  ':':  needsQuotes  =  true;  //  no  need  to  escape  these,  but  value  must  be  quoted  break;  	77	replace-5
137	flink_734ba01d	buggy:  context:  }  if  (current  ==  CANCELED  ||  current  ==  FINISHED)  {  if  (LOG.isDebugEnabled())  {  LOG.debug( "Ignoring  transition  of  vertex  {}  to  {}  while  being  {}. ",  getVertexWithAttempt(),  FAILED,  current);  }  return  false;  }  if  (transitionState(current,  FAILED,  t))  {  this.failureCause  =  t;  try  {  	if  (current  ==  CANCELING)  {  cancelingComplete();  return  false;  }    	800	add
138	flink_dc78a747	buggy:  kryo.setReferences(false);  context:  return  kryo;  }  }  private  void  checkKryoInitialized()  {  if  (this.kryo  ==  null)  {  this.kryo  =  getKryoInstance();  //  disable  reference  tracking.  reference  tracking  is  costly,  usually  unnecessary,  and  //  inconsistent  with  Flink's  own  serialization  (which  does  not  do  reference  tracking)  kryo.setReferences(false);  kryo.addDefaultSerializer(Throwable.class,  new  JavaSerializer());  for  (Map.Entry<Class<?>,  ExecutionConfig.SerializableSerializer<?>>  entry:  defaultSerializers.entrySet())  {  	kryo.setReferences(true);  	332	replace-1
139	flink_8e3e2f8f	buggy:  int  overallStateSize  =  0;  context:  }  public  void  onCompletedCheckpoint(CompletedCheckpoint  checkpoint)  {  if  (taskParallelism.isEmpty())  {  return;  }  synchronized  (statsLock)  {  int  overallStateSize  =  0;  Map<JobVertexID,  long[][]>  statsForSubTasks  =  new  HashMap<>();  for  (StateForTask  state  :  checkpoint.getStates())  {  overallStateSize  +=  state.getStateSize();  	long  overallStateSize  =  0;  	139	replace-1
140	accumulo_4d23d784	buggy:  final  Option  o  =  new  Option(START_ROW_OPT,   "begin-row ",  true,   "begin  row  (NOT)  inclusive ");  context:  final  Option  listOpt  =  new  Option(AdlOpt.LIST.opt,   "list ",  false,   "list   "  +  name  +   "(s) ");  final  OptionGroup  og  =  new  OptionGroup();  og.addOption(addOpt);  og.addOption(deleteOpt);  og.addOption(listOpt);  og.setRequired(true);  return  og;  }  public  static  Option  startRowOpt()  {  final  Option  o  =  new  Option(START_ROW_OPT,   "begin-row ",  true,   "begin  row  (NOT)  inclusive ");  o.setArgName( "begin-row ");  return  o;  }  public  static  Option  endRowOpt()  {  final  Option  o  =  new  Option(END_ROW_OPT,   "end-row ",  true,   "end  row  (inclusive) ");  o.setArgName( "end-row ");  return  o;  	final  Option  o  =  new  Option(START_ROW_OPT,   "begin-row ",  true,   "begin  row  (exclusive) ");  	120	replace-1
141	wicket_d3dc9a50	buggy:  public  static  boolean  isRelative(String  url)  if  ((url  !=  null)  &&  (url.startsWith( "/ ")  ==  false)  &&  (url.indexOf( ":// ")  <  0)  &&  context:  {  }  public  static  boolean  isRelative(String  url)  {  if  ((url  !=  null)  &&  (url.startsWith( "/ ")  ==  false)  &&  (url.indexOf( ":// ")  <  0)  &&  !(url.startsWith( "# ")))  {  return  true;  }  	public  static  boolean  isRelative(final  String  url)  if  ((url  !=  null)  &&  (url.startsWith( "/ ")  ==  false)  &&  (!url.matches( "^\\w+\\:\\/\\/.* "))  &&  	42	replace-2
142	wicket_fd910746	buggy:  if  (formComponent.isVisibleInHierarchy()  &&  formComponent.isValid()  &&  formComponent.isEnabledInHierarchy())  context:  {  Form<?>  form  =  formComponent.getForm();  if  (!form.isVisibleInHierarchy()  ||  !form.isEnabledInHierarchy())  {  visit.dontGoDeeper();  return;  }  if  (formComponent.isVisibleInHierarchy()  &&  formComponent.isValid()  &&  formComponent.isEnabledInHierarchy())  {  validate(formComponent);  }  if  (formComponent.processChildren()  ==  false)  {  visit.dontGoDeeper();  }  	if  (formComponent.isVisibleInHierarchy()  &&  formComponent.isEnabledInHierarchy())  	173	replace-2
143	jackrabbit-oak_ab1a0cc2	buggy:  &&  that.getChildNodeCount(1)  ==  0;  context:  return   "{N/A} ";  }  }  public  boolean  equals(Object  object)  {  if  (object  ==  EMPTY_NODE  ||  object  ==  MISSING_NODE)  {  return  exists  ==  (object  ==  EMPTY_NODE);  }  else  if  (object  instanceof  NodeState)  {  NodeState  that  =  (NodeState)  object;  return  that.getPropertyCount()  ==  0          &&  that.getChildNodeCount(1)  ==  0;  }  else  {  return  false;  }  }  public  int  hashCode()  {  return  0;  	&&  that.getChildNodeCount(1)  ==  0  &&  (exists  ==  that.exists());  	189	replace-1
144	jackrabbit-oak_61c877d8	buggy:  String  ntName  =  checkNotNull(TreeUtil.getPrimaryTypeName(tree));  context:  public  TreePermission  getTreePermission(@Nonnull  ImmutableTree  tree,  @Nonnull  TreePermission  parentPermission)  {  if  (tree.isRoot())  {  return  new  TreePermissionImpl(tree,  TreeTypeProvider.TYPE_DEFAULT,  TreePermission.EMPTY);  }  int  type  =  tree.getType();  switch  (type)  {  case  TreeTypeProvider.TYPE_HIDDEN:  return  TreePermission.ALL;  case  TreeTypeProvider.TYPE_VERSION:      String  ntName  =  checkNotNull(TreeUtil.getPrimaryTypeName(tree));  if  (VersionConstants.VERSION_STORE_NT_NAMES.contains(ntName)  ||  VersionConstants.NT_ACTIVITY.equals(ntName))  {  return  new  TreePermissionImpl(tree,  TreeTypeProvider.TYPE_VERSION,  parentPermission);  }  else  {  ImmutableTree  versionableTree  =  getVersionableTree(tree);  if  (versionableTree  ==  null)  {  	String  ntName  =  TreeUtil.getPrimaryTypeName(tree);  if  (ntName  ==  null)  {  return  TreePermission.EMPTY;  }  	160	replace-1
145	commons-math_6dd3724b	buggy:  return  getCumPct((Comparable<?>)  v);  context:  public  double  getPct(Object  v)  {      return  getCumPct((Comparable<?>)  v);  }  	return  getPct((Comparable<?>)  v);  	303	replace-1
146	wicket_f1c0f263	buggy:  int  dot2Count  =  countToken( ".. ",  path);  context:  return  false;  }  int  slash2Count  =  countToken( "// ",  path);  if  (isOff(ALLOW_2_SLASHES)  &&  (slash2Count  >  0))  {  return  false;  }  int  slashCount  =  countToken( "/ ",  path);  int  dot2Count  =  countToken( ".. ",  path);  if  (dot2Count  >  0)  {  if  ((slashCount  -  slash2Count  -  1)  <=  dot2Count)  {  return  false;  }  }  	int  dot2Count  =  countToken( "/.. ",  path);  	487	replace-1
147	commons-math_334c01e6	buggy:  x1  =  x;  f1  =  fx;  if  (method  ==  Method.ILLINOIS)  {  }  if  (method  ==  Method.PEGASUS)  {  x1  =  x;  f1  =  fx;  context:  }  if  (f1  *  fx  <  0)  {      //  We  had  [x0..x1].  We  update  it  to  [x1,  x].  Note  that  the      //  value  of  x1  has  switched  to  the  other  bound,  thus  inverting  x0  =  x1;  f0  =  f1;      x1  =  x;      f1  =  fx;  inverted  =  !inverted;  }  else  {      //  We  had  [x0..x1].  We  update  it  to  [x0,  x].      if  (method  ==  Method.ILLINOIS)  {  f0  *=  0.5;      }  	switch  (method)  {  case  ILLINOIS:  break;  case  PEGASUS:  break;  case  REGULA_FALSI:  if  (x  ==  x1)  {  final  double  delta  =  FastMath.max(rtol  *  FastMath.abs(x1),  atol);  x0  =  0.5  *  (x0  +  x1  -  delta);  f0  =  computeObjectiveValue(x0);  }  break;  default:  throw  new  MathInternalError();  x1  =  x;  f1  =  fx;  	178	replace-7
148	jackrabbit-oak_36e70bd7	buggy:  revision++;  context:  public  NodeState  getBaseState()  {  return  baseState;  }  public  void  reset(NodeState  newBase)  {  if  (this  ==  root)  {  baseState  =  checkNotNull(newBase);  writeState  =  new  MutableNodeState(baseState);      revision++;  }  else  {  throw  new  IllegalStateException( "Cannot  reset  a  non-root  builder ");  }  }  public  long  getChildNodeCount()  {  return  read().getChildNodeCount();  	revision  =  0;  	268	replace-1
149	camel_06a8489a	buggy:  boolean  isDirectory  =  file.isDirectory();  if  (!isDirectory  &&  file.getName().contains( ". "))  {  throw  new  IllegalArgumentException( "Only  directory  is  supported.  Endpoint  must  be  configured  with  a  valid  starting  directory:   "  +  file);  }  if  (!file.exists()  &&  !isDirectory)  {  context:  super(endpointUri,  component);  this.readLock  =   "markerFile ";  }  public  FileConsumer  createConsumer(Processor  processor)  throws  Exception  {  ObjectHelper.notNull(operations,   "operations ");  ObjectHelper.notNull(file,   "file ");      //  we  assume  its  a  file  if  the  name  has  a  dot  in  it  (eg  foo.txt)      boolean  isDirectory  =  file.isDirectory();      if  (!isDirectory  &&  file.getName().contains( ". "))  {      throw  new  IllegalArgumentException( "Only  directory  is  supported.  Endpoint  must  be  configured  with  a  valid  starting  directory:   "  +  file);      }      if  (!file.exists()  &&  !isDirectory)  {  if  (isAutoCreate())  {  log.debug( "Creating  non  existing  starting  directory:  {} ",  file);  	if  (!file.exists()  &&  !file.isDirectory())  {  	53	replace-6
150	commons-math_d270055e	buggy:  context:  public  Vector3D  intersection(final  SubLine  subLine,  final  boolean  includeEndPoints)  {  Vector3D  v1D  =  line.intersection(subLine.line);  Location  loc1  =  remainingRegion.checkPoint(line.toSubSpace(v1D));  Location  loc2  =  subLine.remainingRegion.checkPoint(subLine.line.toSubSpace(v1D));  	if  (v1D  ==  null)  {  return  null;  }  	114	add
151	jackrabbit-oak_9772f5b2	buggy:  nodeStore.backgroundRead(true);  context:  DocumentMK(Builder  builder)  {  this.nodeStore  =  builder.getNodeStore();  this.store  =  nodeStore.getDocumentStore();  }  public  void  dispose()  {  nodeStore.dispose();  }  void  backgroundRead()  {      nodeStore.backgroundRead(true);  }  void  backgroundWrite()  {  nodeStore.backgroundWrite();  }  void  runBackgroundOperations()  {  nodeStore.runBackgroundOperations();  	nodeStore.backgroundRead();  	130	replace-1
152	commons-math_19c1c3bb	buggy:  context:  final  double[]  c1  =  new  double[]  {  vA.getNormSq(),  vB.getNormSq(),  vC.getNormSq(),  vD.getNormSq()  };  final  double[]  c2  =  new  double[]  {  vA.getX(),  vB.getX(),  vC.getX(),  vD.getX()  };  final  double[]  c3  =  new  double[]  {  vA.getY(),  vB.getY(),  vC.getY(),  vD.getY()  };  final  double[]  c4  =  new  double[]  {  	  	92	add
153	logging-log4j2_7bb1ad47	buggy:  if  (throwable  ==  null  &&  params  !=  null  &&  params[params.length  -  1]  instanceof  Throwable)  {  context:  if  (showContextMap)  {  final  Map<String,  String>  mdc  =  ThreadContext.getContext();  if  (mdc.size()  >  0)  {  sb.append(SPACE);  sb.append(mdc.toString());  sb.append(SPACE);  }  }  final  Object[]  params  =  msg.getParameters();  Throwable  t;      if  (throwable  ==  null  &&  params  !=  null  &&  params[params.length  -  1]  instanceof  Throwable)  {  t  =  (Throwable)  params[params.length  -  1];  }  else  {  t  =  throwable;  }  if  (t  !=  null)  {  sb.append(SPACE);  final  ByteArrayOutputStream  baos  =  new  ByteArrayOutputStream();  t.printStackTrace(new  PrintStream(baos));  	if  (throwable  ==  null  &&  params  !=  null  &&  params.length  >  0  &&  params[params.length  -  1]  instanceof  Throwable)  {  	157	replace-1
154	wicket_faaae8d3	buggy:  context:  else  if  (urlStartsWith(request.getClientUrl(),  namespace,  pageIdentifier)  &&  urlStartsWith(url,  pageIdentifier))  {  matches  =  true;  }  else  if  (urlStartsWith(request.getClientUrl(),  pageIdentifier)  &&  urlStartsWith(url,  pageIdentifier))  {  matches  =  true;  }  return  matches;  }  }  	else  if  (baseUrl.getSegments().size()  ==  2  &&  urlStartsWith(baseUrl,  bookmarkableIdentifier)  &&  url.getSegments().size()  ==  2  &&  urlStartsWith(url,  bookmarkableIdentifier))  {  matches  =  true;  }  	194	add
155	logging-log4j2_88641f49	buggy:  int  begin  =  i;  int  next  =  pattern.indexOf( "{ ",  i  +  1);  context:  private  static  int  extractOptions(String  pattern,  int  i,  List<String>  options)  {  while  ((i  <  pattern.length())  &&  (pattern.charAt(i)  ==  '{'))  {      int  begin  =  i;  int  end;  int  depth  =  0;  do  {  end  =  pattern.indexOf('}',  i);  if  (end  !=  -1)  {          int  next  =  pattern.indexOf( "{ ",  i  +  1);  if  (next  !=  -1  &&  next  <  end)  {  	int  begin  =  i++;  int  next  =  pattern.indexOf( "{ ",  i);  	213	replace-2
156	accumulo_dc95cb69	buggy:  if  (sp.length  !=  2)  {  String  extension  =  sp[1];  context:  class  DispatchingFileFactory  extends  FileOperations  {  private  FileOperations  findFileFactory(String  file)  {  Path  p  =  new  Path(file);  String  name  =  p.getName();  if  (name.startsWith(Constants.MAPFILE_EXTENSION  +   "_ "))  {  return  new  MapFileOperations();  }  String[]  sp  =  name.split( "\\. ");  if  (sp.length  !=  2)  {  throw  new  IllegalArgumentException( "File  name   "  +  name  +   "  has  no  extension ");  }  String  extension  =  sp[1];  	if  (sp.length  <  2)  {  String  extension  =  sp[sp.length  -  1];  	47	replace-3
157	jackrabbit-oak_429baf4d	buggy:  return  POLICY_NODE_NAMES.contains(name)  ||  REP_PERMISSION_STORE.equals(name);  context:  public  boolean  definesProperty(@Nonnull  Tree  parent,  @Nonnull  PropertyState  property)  {  return  definesTree(parent);  }  public  boolean  definesContextRoot(@Nonnull  Tree  tree)  {  String  name  =  tree.getName();      return  POLICY_NODE_NAMES.contains(name)  ||  REP_PERMISSION_STORE.equals(name);  }  public  boolean  definesTree(@Nonnull  Tree  tree)  {  	if  (POLICY_NODE_NAMES.contains(name))  {  return  NT_REP_ACL.equals(TreeUtil.getPrimaryTypeName(tree));  }  else  {  return  REP_PERMISSION_STORE.equals(name);  }  	50	replace-1
158	wicket_9a6a06be	buggy:  return   "ValidationErrorFeedback{ "  +   "message= "  +  message  +  '}';  context:  public  Serializable  getMessage()  {  return  message;  }  public  String  toString()  {  return   "ValidationErrorFeedback{ "  +   "message= "  +  message  +  '}';  }  }  	return  message  !=  null  ?  message.toString()  :   " ";  	81	replace-3
159	jackrabbit-oak_275eca83	buggy:  cp.setProperty( "timestamp ",  now  +  lifetime);  context:  for  (String  n  :  checkpoints.getChildNodeNames())  {  NodeBuilder  cp  =  checkpoints.getChildNode(n);  PropertyState  ts  =  cp.getProperty( "timestamp ");  if  (ts  ==  null  ||  ts.getType()  !=  LONG  ||  now  >  ts.getValue(LONG))  {  cp.remove();  }  }  NodeBuilder  cp  =  checkpoints.child(name);      cp.setProperty( "timestamp ",  now  +  lifetime);  cp.setProperty( "created ",  now);  NodeBuilder  props  =  cp.setChildNode( "properties ");  for  (Entry<String,  String>  p  :  properties.entrySet())  {  	if  (Long.MAX_VALUE  -  now  >  lifetime)  {  cp.setProperty( "timestamp ",  now  +  lifetime);  }  else  {  cp.setProperty( "timestamp ",  Long.MAX_VALUE);  }  	419	replace-1
160	wicket_38e928c1	buggy:  component.renderHead(headerContainer);  context:  Args.notNull(headerContainer,   "headerContainer ");  Args.notNull(rootComponent,   "rootComponent ");  if  (rootComponent  instanceof  MarkupContainer)  {  new  DeepChildFirstVisitor()  {  public  void  component(final  Component  component,  final  IVisit<Void>  visit)  {  component.renderHead(headerContainer);  }  public  boolean  preCheck(Component  component)  {  	if  (component  !=  rootComponent)  {  component.renderHead(headerContainer);  }  	83	replace-1
161	jackrabbit-oak_94110f21	buggy:  credentials.setAttribute(e.getClass().getName(),  e.getMessage());  context:  root.commit();  log.debug( "User   "  +  userId  +   ":  changed  user  password ");  return  true;  }  else  {  log.warn( "Aborted  password  change  for  user   "  +  userId  }  }  }  catch  (PasswordHistoryException  e)  {      credentials.setAttribute(e.getClass().getName(),  e.getMessage());  log.error( "Failed  to  change  password  for  user   "  +  userId,  e.getMessage());  }  catch  (RepositoryException  e)  {  log.error( "Failed  to  change  password  for  user   "  +  userId,  e.getMessage());  }  catch  (CommitFailedException  e)  {  root.refresh();  log.error( "Failed  to  change  password  for  user   "  +  userId,  e.getMessage());  }  return  false;  	credentials.setAttribute(e.getClass().getSimpleName(),  e.getMessage());  	172	replace-1
162	jackrabbit-oak_8ed779dc	buggy:  String  childName  =  getOakName(PathUtils.getName(relPath));  NodeDefinition  def  =  dp.getDefinition(parent.getTree(),  childName);  context:  throw  new  PathNotFoundException(relPath);  }  if  (parent.getChild(oakName)  !=  null)  {  throw  new  ItemExistsException(relPath);  }  String  ntName  =  primaryNodeTypeName;  if  (ntName  ==  null)  {  DefinitionProvider  dp  =  getDefinitionProvider();          String  childName  =  getOakName(PathUtils.getName(relPath));          NodeDefinition  def  =  dp.getDefinition(parent.getTree(),  childName);  ntName  =  def.getDefaultPrimaryTypeName();  if  (ntName  ==  null)  {  throw  new  ConstraintViolationException(   "no  matching  child  node  definition  found  for   "  +  relPath);  }  }  	NodeDefinition  def  =  dp.getDefinition(parent.getTree(),  oakName);  	243	replace-2
163	jackrabbit-oak_c91bfa54	buggy:  if(dr  !=  null  &&  dr.getLastModified()  <  maxLastModifiedTime){  context:  return  0;  }  public  Iterator<String>  getAllChunkIds(final  long  maxLastModifiedTime)  throws  Exception  {  return  transform(filter(delegate.getAllIdentifiers(),  new  Predicate<DataIdentifier>()  {  public  boolean  apply(DataIdentifier  input)  {  try  {  DataRecord  dr  =  delegate.getRecord(input);          if(dr  !=  null  &&  dr.getLastModified()  <  maxLastModifiedTime){  return  true;  }  }  catch  (DataStoreException  e)  {  log.warn( "Error  occurred  while  fetching  DataRecord  for  identifier  {} ",input,  e);  }  return  false;  }  	if(dr  !=  null  &&  (maxLastModifiedTime  <=0  ||  dr.getLastModified()  <  maxLastModifiedTime)){  	270	replace-1
164	commons-math_645d642b	buggy:  private  static  final  long  serialVersionUID  =  20110928L;  context:  class  EulerStepInterpolator  extends  RungeKuttaStepInterpolator  {    private  static  final  long  serialVersionUID  =  20110928L;  	private  static  final  long  serialVersionUID  =  20111120L;  	45	replace-1
165	flink_a56aad74	buggy:  private  boolean  isReleased;  context:  final  IOMode  ioMode;  BufferFileWriter  spillWriter;  private  boolean  isFinished;  private  boolean  isReleased;  private  ResultSubpartitionView  readView;  SpillableSubpartition(int  index,  ResultPartition  parent,  IOManager  ioManager,  IOMode  ioMode)  {  super(index,  parent);  this.ioManager  =  checkNotNull(ioManager);  	boolean  isReleased;  	62	replace-1
166	wicket_2624d2db	buggy:  private  static  final  String  emailPattern  =   "[\\w\\.-\\\\+]+@[\\w\\.-]+ ";  context:  public  class  DefaultLinkParser  extends  LinkParser  {  private  static  final  String  emailPattern  =   "[\\w\\.-\\\\+]+@[\\w\\.-]+ ";  private  static  final  String  urlPattern  =   "([a-zA-Z]+://[\\w\\.\\-\\:\\/~]+)[\\w\\.:\\-/?&=%]* ";  	private  static  final  String  emailPattern  =   "[\\w\\.\\-\\\\+]+@[\\w\\.\\-]+ ";  	32	replace-1
167	commons-math_fb007815	buggy:  int  swaps  =  0;  context:  tiedXPairs  +=  sum(consecutiveXTies  -  1);  consecutiveXTies  =  1;  tiedXYPairs  +=  sum(consecutiveXYTies  -  1);  consecutiveXYTies  =  1;  }  prev  =  curr;  }  tiedXPairs  +=  sum(consecutiveXTies  -  1);  tiedXYPairs  +=  sum(consecutiveXYTies  -  1);      int  swaps  =  0;  Pair<Double,  Double>[]  pairsDestination  =  new  Pair[n];  for  (int  segmentSize  =  1;  segmentSize  <  n;  segmentSize  <<=  1)  {  for  (int  offset  =  0;  offset  <  n;  offset  +=  2  *  segmentSize)  {  int  i  =  offset;  final  int  iEnd  =  FastMath.min(i  +  segmentSize,  n);  int  j  =  iEnd;  final  int  jEnd  =  FastMath.min(j  +  segmentSize,  n);  	long  swaps  =  0;  	204	replace-1
168	camel_6641f182	buggy:  private  static  final  String  SCAN_BLOCK_TOKEN_REGEX_TEMPLATE  =   "<{0}(\\s+[^/^>]*)?/>|<{0}(\\s+[^>]*)?>(?:(?!(</{0}\\s*>)).)*</{0}\\s*> ";  context:  public  class  TokenXMLExpressionIterator  extends  ExpressionAdapter  {  private  static  final  Pattern  NAMESPACE_PATTERN  =  Pattern.compile( "xmlns(:\\w+|)\\s*=\\s*('[^']+'|\ "[^\ "]+\ ") ");  private  static  final  String  SCAN_TOKEN_NS_PREFIX_REGEX  =   "([^:<>]{1,15}?:|) ";  private  static  final  String  SCAN_BLOCK_TOKEN_REGEX_TEMPLATE  =   "<{0}(\\s+[^/^>]*)?/>|<{0}(\\s+[^>]*)?>(?:(?!(</{0}\\s*>)).)*</{0}\\s*> ";  private  static  final  String  SCAN_PARENT_TOKEN_REGEX_TEMPLATE  =   "<{0}(\\s+[^>]*\\s*)?> ";  protected  final  String  tagToken;  protected  final  String  inheritNamespaceToken;  public  TokenXMLExpressionIterator(String  tagToken,  String  inheritNamespaceToken)  {  ObjectHelper.notEmpty(tagToken,   "tagToken ");  this.tagToken  =  tagToken;  	private  static  final  String  SCAN_BLOCK_TOKEN_REGEX_TEMPLATE  =   "<{0}(\\s+[^>]*)?/>|<{0}(\\s+[^>]*)?>(?:(?!(</{0}\\s*>)).)*</{0}\\s*> ";  	50	replace-1
169	logging-log4j2_2d7d6311	buggy:  context:  public  Result  filter(final  Logger  logger,  final  Level  level,  final  Marker  marker,  final  String  msg,  final  Object...  params)  {  return  filter(msg);  }  public  Result  filter(final  Logger  logger,  final  Level  level,  final  Marker  marker,  final  Object  msg,  final  Throwable  t)  {  return  filter(msg.toString());  }  public  Result  filter(final  Logger  logger,  final  Level  level,  final  Marker  marker,  final  Message  msg,  final  Throwable  t)  {  	if  (msg  ==  null)  {  return  onMismatch;  }  if  (msg  ==  null)  {  return  onMismatch;  }  	60	add
170	jackrabbit-oak_7fe28a0e	buggy:  context:  public  PropertyDelegate  setProperty(String  name,  CoreValue  value)  throws  InvalidItemStateException  {  PropertyState  propertyState  =  getTree().setProperty(name,  value);  return  new  PropertyDelegate(sessionDelegate,  getTree(),  propertyState);  }  	public  void  removeProperty(String  name)  throws  InvalidItemStateException  {  getTree().removeProperty(name);  }    	294	add
171	camel_b9094cb5	buggy:  ServiceHelper.stopServices(deadLetter,  output,  outputAsync);  context:  throw  new  IllegalArgumentException( "ExecutorServiceRef   "  +  executorServiceRef  +   "  not  found  in  registry. ");  }  }  else  {  executorService  =  camelContext.getExecutorServiceStrategy().newScheduledThreadPool(this,   "ErrorHandlerRedeliveryTask ");  }  }  }  protected  void  doStop()  throws  Exception  {      ServiceHelper.stopServices(deadLetter,  output,  outputAsync);  }  	@Override  protected  void  doShutdown()  throws  Exception  {  ServiceHelper.stopServices(deadLetter,  output,  outputAsync);  }  	843	replace-1
172	maven_3fca2bb2	buggy:  context:  return  fields;  }  private  boolean  isQualifiedForInterpolation(  Class<?>  cls  )  {  return  !cls.getName().startsWith(   "java "  );  }  private  boolean  isQualifiedForInterpolation(  Field  field,  Class<?>  fieldType  )  {  Boolean  primitive  =  fieldIsPrimitiveByClass.get(  fieldType  );  if  (  primitive  ==  null  )  {  primitive  =  fieldType.isPrimitive();  fieldIsPrimitiveByClass.put(  fieldType,  primitive  );  	if  (  Map.class.equals(  fieldType  )  &&   "locations ".equals(  field.getName()  )  )  {  return  false;  }    	327	add
173	jackrabbit-oak_25850476	buggy:  int  slashIdx  =  splitId.lastIndexOf('/');  int  height  =  Integer.parseInt(splitId.substring(slashIdx  +  1));  splitId.substring(splitId.lastIndexOf('/',  slashIdx  -  1)  +  1,  slashIdx));  LOG.warn( "Split  document  {}  not  referenced  anymore.  Main  document  is  {} ",  splitId,  mainId);  context:  private  void  disconnect(NodeDocument  splitDoc)  {  String  splitId  =  splitDoc.getId();  String  mainId  =  Utils.getIdFromPath(splitDoc.getMainPath());  NodeDocument  doc  =  store.find(NODES,  mainId);  if  (doc  ==  null)  {  LOG.warn( "Main  document  {}  already  removed.  Split  document  is  {} ",  mainId,  splitId);  return;  }      int  slashIdx  =  splitId.lastIndexOf('/');      int  height  =  Integer.parseInt(splitId.substring(slashIdx  +  1));  Revision  rev  =  Revision.fromString(      splitId.substring(splitId.lastIndexOf('/',  slashIdx  -  1)  +  1,  slashIdx));  doc  =  doc.findPrevReferencingDoc(rev,  height);  	  String  splitDocPath  =  splitDoc.getPath();  int  slashIdx  =  splitDocPath.lastIndexOf('/');  int  height  =  Integer.parseInt(splitDocPath.substring(slashIdx  +  1));  splitDocPath.substring(splitDocPath.lastIndexOf('/',  slashIdx  -  1)  +  1,  slashIdx));  LOG.warn( "Split  document  {}  for  path  {}  not  referenced  anymore.  Main  document  is  {} ",  splitId,  splitDocPath,  mainId);  	82	replace-5
174	jackrabbit-oak_ca63fdf3	buggy:  context:  source.getRepositoryConfig().getDefaultWorkspaceName();  SecurityProviderImpl  security  =  new  SecurityProviderImpl(  mapSecurityConfig(config.getSecurityConfig()));  new  InitialContent().initialize(builder);  if  (initializer  !=  null)  {  initializer.initialize(builder);  }  for  (SecurityConfiguration  sc  :  security.getConfigurations())  {  sc.getWorkspaceInitializer().initialize(builder,  workspaceName);  }  HashBiMap<String,  String>  uriToPrefix  =  HashBiMap.create();  Map<Integer,  String>  idxToPrefix  =  newHashMap();  copyNamespaces(builder,  uriToPrefix,  idxToPrefix);  copyNodeTypes(builder,  uriToPrefix.inverse());  	sc.getRepositoryInitializer().initialize(builder);  }  for  (SecurityConfiguration  sc  :  security.getConfigurations())  {  	260	add
175	wicket_e1168a57	buggy:  return  false;  return  true;  context:  {  if  (userAgent.contains(value))  {  return  false;  }  }  }  for  (List<String>  detectionGroup  :  detectionStrings)  {  for  (String  detectionString  :  detectionGroup)  {  if  (!userAgent.contains(detectionString))  {  return  false;  }  }  	boolean  groupPassed  =  true;  groupPassed  =  false;  break;  if  (groupPassed)  {  return  true;  }  	99	replace-3
176	wicket_089303f4	buggy:  context:  lastRenderedPage  =  generateLastRenderedPage(cycle);  MockHttpServletRequest  newHttpRequest  =  new  MockHttpServletRequest(application,  servletSession,  application.getServletContext());  newHttpRequest.setRequestToRedirectString(httpResponse.getRedirectLocation());  wicketRequest  =  application.newWebRequest(newHttpRequest);  cycle  =  createRequestCycle();  cycle.request();  }  	else  {  String  url  =  httpResponse.getHeader( "Ajax-Location ");  if  (url  !=  null)  {  MockHttpServletRequest  newHttpRequest  =  new  MockHttpServletRequest(application,  servletSession,  application.getServletContext());  newHttpRequest.setRequestToRedirectString(url);  wicketRequest  =  application.newWebRequest(newHttpRequest);    cycle  =  createRequestCycle();  cycle.request();  }  }    	547	add
