bugid	buggy	patch
libgdx_836f93ec606186020ac2b03b1c0ddf27fc2a218f	buggy:  if  (worldVertices  ==  null  ||  worldVertices.length  <  localVertices.length)  worldVertices  =  new  float[localVertices.length];  context:  public  float[]  getTransformedVertices  ()  {  if  (!dirty)  return  worldVertices;  dirty  =  false;  final  float[]  localVertices  =  this.localVertices;  if  (worldVertices  ==  null  ||  worldVertices.length  <  localVertices.length)  worldVertices  =  new  float[localVertices.length];  if  (worldVertices  ==  null  ||  worldVertices.length  !=  localVertices.length)  worldVertices  =  new  float[localVertices.length];  final  float[]  worldVertices  =  this.worldVertices;  final  float  positionX  =  x;  final  float  positionY  =  y;  final  float  originX  =  this.originX;  final  float  originY  =  this.originY;  final  float  scaleX  =  this.scaleX;  final  float  scaleY  =  this.scaleY;  	if  (worldVertices  ==  null  ||  worldVertices.length  !=  localVertices.length)  worldVertices  =  new  float[localVertices.length];  
elasticsearch_2ba7c1d4a1844edb44cbea1a90a8e4652508b68d	buggy:  }  catch  (IOException  ex)  {  context:  public  final  Searcher  acquireSearcher(String  source)  throws  EngineException  {  SearcherManager  manager  =  this.searcherManager;  if  (manager  ==  null)  {  throw  new  EngineClosedException(shardId);  }  try  {  IndexSearcher  searcher  =  manager.acquire();  return  newSearcher(source,  searcher,  manager);          }  catch  (IOException  ex)  {          }  catch  (Throwable  ex)  {  throw  new  EngineException(shardId,  ex.getMessage());  }  }  protected  Searcher  newSearcher(String  source,  IndexSearcher  searcher,  SearcherManager  manager)  {  return  new  RobinSearcher(source,  searcher,  manager);  }  	}  catch  (Throwable  ex)  {  
libgdx_67822379726a2bedc4ccc5b883994c2b20199a94	buggy:  if  (!isCtrlPressed())  selected.clear();  context:  if  (selected.size  >  0  &&  rangeSelect  &&  multiple  &&  (Gdx.input.isKeyPressed(Keys.SHIFT_LEFT)  ||  Gdx.input.isKeyPressed(Keys.SHIFT_RIGHT)))  {  int  low  =  items.indexOf(getLastSelected(),  false);  int  high  =  items.indexOf(item,  false);  if  (low  >  high)  {  int  temp  =  low;  low  =  high;  high  =  temp;  }  snapshot();  if  (!isCtrlPressed())  selected.clear();  if  (!UIUtils.ctrl())  selected.clear();  for  (;  low  <=  high;  low++)  selected.add(items.get(low));  if  (fireChangeEvent())  revert();  cleanup();  return;  }  super.choose(item);  }  	if  (!UIUtils.ctrl())  selected.clear();  
elasticsearch_eddb378baec7a452928492fdcd1f037ff92ac1ca	buggy:  externalNodes[i]  =  externalNodes[i].start(client,  defaultSettings,  NODE_PREFIX  +  i,  cluster.getClusterName());  context:  public  synchronized  void  beforeTest(Random  random,  double  transportClientRatio)  throws  IOException  {  super.beforeTest(random,  transportClientRatio);  cluster.beforeTest(random,  transportClientRatio);  Settings  defaultSettings  =  cluster.getDefaultSettings();  final  Client  client  =  cluster.size()  >  0  ?  cluster.client()  :  cluster.clientNodeClient();  for  (int  i  =  0;  i  <  externalNodes.length;  i++)  {  if  (!externalNodes[i].running())  {  try  {                      externalNodes[i]  =  externalNodes[i].start(client,  defaultSettings,  NODE_PREFIX  +  i,  cluster.getClusterName());                      externalNodes[i]  =  externalNodes[i].start(client,  defaultSettings,  NODE_PREFIX  +  i,  cluster.getClusterName(),  i);  }  catch  (InterruptedException  e)  {  Thread.interrupted();  return;  }  }  externalNodes[i].reset(random.nextLong());  }  if  (size()  >  0)  {  	externalNodes[i]  =  externalNodes[i].start(client,  defaultSettings,  NODE_PREFIX  +  i,  cluster.getClusterName(),  i);  
elasticsearch_d4547c629f53ad76ea463dc0acb1f26f0a2b784b	buggy:  ClusterHealthResponse  clusterHealth  =  client1.admin().cluster().health(clusterHealth().waitForGreenStatus()).actionGet();  context:  protected  Client  getClient1()  {  return  client( "server1 ");  }  protected  Client  getClient2()  {  return  client( "server2 ");  }          ClusterHealthResponse  clusterHealth  =  client1.admin().cluster().health(clusterHealth().waitForGreenStatus()).actionGet();          ClusterHealthResponse  clusterHealth  =  client1.admin().cluster().health(clusterHealthRequest().waitForGreenStatus()).actionGet();  assertThat(clusterHealth.timedOut(),  equalTo(false));  assertThat(clusterHealth.status(),  equalTo(ClusterHealthStatus.GREEN));  Future<Response>  response  =  httpClient.preparePut( "http://localhost:9200/test/type1/1 ").setBody(source( "1 ",   "test ")).execute();  Map<String,  Object>  respMap  =  XContentFactory.xContent(response.get().getResponseBody()).createParser(response.get().getResponseBody()).map();  assertThat((Boolean)  respMap.get( "ok "),  equalTo(Boolean.TRUE));  assertThat((String)  respMap.get( "_id "),  equalTo( "1 "));  	ClusterHealthResponse  clusterHealth  =  client1.admin().cluster().health(clusterHealthRequest().waitForGreenStatus()).actionGet();  
elasticsearch_f4bf0d5112b5c6f29b651586d72c3972db5a2834	buggy:  request.indices(state.metaData().concreteIndices(indicesOrAliases,  request.ignoreIndices(),  false));  context:  protected  CloseIndexResponse  newResponse()  {  return  new  CloseIndexResponse();  }  protected  void  doExecute(CloseIndexRequest  request,  ActionListener<CloseIndexResponse>  listener)  {  ClusterState  state  =  clusterService.state();  String[]  indicesOrAliases  =  request.indices();          request.indices(state.metaData().concreteIndices(indicesOrAliases,  request.ignoreIndices(),  false));          request.indices(state.metaData().concreteIndices(indicesOrAliases,  request.indicesOptions()));  if  (disableCloseAllIndices)  {  if  (state.metaData().isExplicitAllIndices(indicesOrAliases)  ||  state.metaData().isPatternMatchingAllIndices(indicesOrAliases,  request.indices()))  {  throw  new  ElasticSearchIllegalArgumentException( "closing  all  indices  is  disabled ");  }  }  	request.indices(state.metaData().concreteIndices(indicesOrAliases,  request.indicesOptions()));  
libgdx_73ecf9f3bb8249bbf68e29fc4e654fdbb912b01d	buggy:  mesh  =  new  Mesh(true,  false,  3,  3,  new  VertexAttribute(Usage.Position,  3,   "a_position "),  new  VertexAttribute(  context:   "uniform  sampler2D  u_texture;\n "  +   "void  main()                                  \n "   "{                                            \n "   "  gl_FragColor  =  v_color  *  texture2D(u_texture,  v_texCoords);\n "  +   "} ";  shader  =  new  ShaderProgram(vertexShader,  fragmentShader);  if  (shader.isCompiled()  ==  false)  {  Gdx.app.log( "ShaderTest ",  shader.getLog());  System.exit(0);  }  mesh  =  new  Mesh(true,  false,  3,  3,  new  VertexAttribute(Usage.Position,  3,   "a_position "),  new  VertexAttribute(  mesh  =  new  Mesh(true,  3,  3,  new  VertexAttribute(Usage.Position,  3,   "a_position "),  new  VertexAttribute(  Usage.Color,  4,   "a_color "),  new  VertexAttribute(Usage.TextureCoordinates,  2,   "a_texCoords "));  mesh.setVertices(new  float[]  {-0.5f,  -0.5f,  0,  1,  0,  0,  1,  0,  0,  0.5f,  -0.5f,  0,  0,  1,  0,  1,  1,  0,  0,  0.5f,  0,  0,  0,  1,  1,  0.5f,  1});  mesh.setIndices(new  short[]  {0,  1,  2});  texture  =  Gdx.graphics.newTexture(Gdx.files.getFileHandle( "data/badlogic.jpg ",  FileType.Internal),  TextureFilter.MipMap,  TextureFilter.Linear,  TextureWrap.ClampToEdge,  TextureWrap.ClampToEdge);  	mesh  =  new  Mesh(true,  3,  3,  new  VertexAttribute(Usage.Position,  3,   "a_position "),  new  VertexAttribute(  
elasticsearch_d06a15ec3e359c3704b52fbca9444f56cc8489ab	buggy:  }  else  if  ( "time_interval ".equals(fieldName))  {  context:  }  }  else  if  (token.isValue())  {  if  ( "field ".equals(fieldName))  {  keyField  =  parser.text();  }  else  if  ( "key_field ".equals(fieldName)  ||   "keyField ".equals(fieldName))  {  keyField  =  parser.text();  }  else  if  ( "value_field ".equals(fieldName)  ||   "valueField ".equals(fieldName))  {  valueField  =  parser.text();  }  else  if  ( "interval ".equals(fieldName))  {  interval  =  parser.longValue();                  }  else  if  ( "time_interval ".equals(fieldName))  {                  }  else  if  ( "time_interval ".equals(fieldName)  ||   "timeInterval ".equals(fieldName))  {  interval  =  TimeValue.parseTimeValue(parser.text(),  null).millis();  }  else  if  ( "key_script ".equals(fieldName)  ||   "keyScript ".equals(fieldName))  {  keyScript  =  parser.text();  }  else  if  ( "value_script ".equals(fieldName)  ||   "valueScript ".equals(fieldName))  {  valueScript  =  parser.text();  }  else  if  ( "order ".equals(fieldName)  ||   "comparator ".equals(fieldName))  {  comparatorType  =  HistogramFacet.ComparatorType.fromString(parser.text());  }  else  if  ( "lang ".equals(fieldName))  {  	}  else  if  ( "time_interval ".equals(fieldName)  ||   "timeInterval ".equals(fieldName))  {  
libgdx_50222242589599ab8c80dd16be7697a7fc5e110b	buggy:  return  (((PointLight)  light).priority  >  this.priority)  ?  -1  :  1;  context:  public  float  intensity;  protected  float  priority;  public  int  compareTo(Object  light)  {  return  (((PointLight)  light).priority  >  this.priority)  ?  -1  :  1;  return  (((PointLight)  light).priority  <  this.priority)  ?  -1  :  1;  }  }  	return  (((PointLight)  light).priority  <  this.priority)  ?  -1  :  1;  
elasticsearch_30d7b8de2fa043bdca3ca55026aa74f06d404a76	buggy:  lock.release();  context:  public  class  FsSnapshotLock  implements  SnapshotLock  {  private  final  Lock  lock;  public  FsSnapshotLock(Lock  lock)  {  this.lock  =  lock;  }  public  void  release()  {  try  {                  lock.release();                  lock.close();  }  catch  (IOException  e)  {  }  }  }  }  	lock.close();  
elasticsearch_1a46179c4e7bbfdd1350bda6a685168ef40c6681	buggy:  docSet  =  DocSets.convert(context.reader(),  filter.getDocIdSet(context));  context:  public  void  collect(int  doc)  throws  IOException  {  if  (docSet.get(doc))  {  collector.collect(doc);  }  }  public  void  setNextReader(AtomicReaderContext  context)  throws  IOException  {  collector.setNextReader(context);          docSet  =  DocSets.convert(context.reader(),  filter.getDocIdSet(context));          docSet  =  DocSets.convert(context.reader(),  filter.getDocIdSet(context,  null));  }  public  boolean  acceptsDocsOutOfOrder()  {  return  collector.acceptsDocsOutOfOrder();  }  }  	docSet  =  DocSets.convert(context.reader(),  filter.getDocIdSet(context,  null));  
elasticsearch_7548b2edb782a2732aca5e9bae9016c6a01cb6e6	buggy:  String[]  concreteIndices  =  clusterState.metaData().concreteIndices(searchRequest.indices(),  searchRequest.indicesOptions());  context:  transportService.registerHandler(SearchAction.NAME,  new  TransportHandler());  }  protected  void  doExecute(SearchRequest  searchRequest,  ActionListener<SearchResponse>  listener)  {  if  (optimizeSingleShard  &&  searchRequest.searchType()  !=  SCAN  &&  searchRequest.searchType()  !=  COUNT)  {  try  {  ClusterState  clusterState  =  clusterService.state();                  String[]  concreteIndices  =  clusterState.metaData().concreteIndices(searchRequest.indices(),  searchRequest.indicesOptions());                  String[]  concreteIndices  =  clusterState.metaData().concreteIndices(searchRequest.indicesOptions(),  searchRequest.indices());  Map<String,  Set<String>>  routingMap  =  clusterState.metaData().resolveSearchRouting(searchRequest.routing(),  searchRequest.indices());  int  shardCount  =  clusterService.operationRouting().searchShardsCount(clusterState,  searchRequest.indices(),  concreteIndices,  routingMap,  searchRequest.preference());  if  (shardCount  ==  1)  {  searchRequest.searchType(QUERY_AND_FETCH);  }  }  catch  (IndexMissingException  e)  {  	String[]  concreteIndices  =  clusterState.metaData().concreteIndices(searchRequest.indicesOptions(),  searchRequest.indices());  
elasticsearch_f1dd867c4f574e457eeca91cd842179725f2e010	buggy:  }  catch  (Exception  e1)  {  context:  public  void  onResponse(CreateIndexResponse  result)  {  innerExecute(request,  listener);  }  public  void  onFailure(Throwable  e)  {  if  (ExceptionsHelper.unwrapCause(e)  instanceof  IndexAlreadyExistsException)  {  try  {  innerExecute(request,  listener);                          }  catch  (Exception  e1)  {                          }  catch  (Throwable  e1)  {  listener.onFailure(e1);  }  }  else  {  listener.onFailure(e);  }  }  });  }  else  {  	}  catch  (Throwable  e1)  {  
libgdx_d42a1f0204320a6695807273cc501e58fae4e3a5	buggy:  if(Display.wasResized()  ||  Display.getWidth()  !=  graphics.config.width  ||  Display.getHeight()  !=  graphics.config.height)  {  context:  int  width  =  graphics.canvas.getWidth();  int  height  =  graphics.canvas.getHeight();  if  (lastWidth  !=  width  ||  lastHeight  !=  height)  {  lastWidth  =  width;  lastHeight  =  height;  Gdx.gl.glViewport(0,  0,  lastWidth,  lastHeight);  listener.resize(lastWidth,  lastHeight);  shouldRender  =  true;  }  }  else  {  if(Display.wasResized()  ||  Display.getWidth()  !=  graphics.config.width  ||  Display.getHeight()  !=  graphics.config.height)  {  if(graphics.resize  ||  Display.wasResized()  ||  Display.getWidth()  !=  graphics.config.width  ||  Display.getHeight()  !=  graphics.config.height)  {  Gdx.gl.glViewport(0,  0,  Display.getWidth(),  Display.getHeight());  graphics.config.width  =  Display.getWidth();  graphics.config.height  =  Display.getHeight();  if(listener  !=  null)  listener.resize(Display.getWidth(),  Display.getHeight());  graphics.requestRendering();  }  }  	if(graphics.resize  ||  Display.wasResized()  ||  Display.getWidth()  !=  graphics.config.width  ||  Display.getHeight()  !=  graphics.config.height)  {  
elasticsearch_89dd722340df8abe8fdfd30ae6e6ee3bce96ce44	buggy:  wipeIndices( "idx ");  context:  }  }  public  void  testDuelTerms()  throws  Exception  {  final  int  numDocs  =  scaledRandomIntBetween(10000,  20000);  final  int  maxNumTerms  =  randomIntBetween(10,  100000);  final  IntOpenHashSet  valuesSet  =  new  IntOpenHashSet();          wipeIndices( "idx ");          cluster().wipeIndices( "idx ");  prepareCreate( "idx ").addMapping( "type ",  jsonBuilder().startObject()  .startObject( "type ")  .startObject( "properties ")  .startObject( "string_values ")  .field( "type ",   "string ")  .field( "index ",   "not_analyzed ")  .endObject()  .startObject( "long_values ")  	cluster().wipeIndices( "idx ");  
libgdx_b1d09718e2c2ecc5164004595f53ca3ec76f4711	buggy:  return  null;  context:  private  final  MassData  massData  =  new  MassData(  );  public  MassData  getMassData()  {  jniGetMassData(addr,  tmp);  massData.mass  =  tmp[0];  massData.center.x  =  tmp[1];  massData.center.y  =  tmp[2];  massData.I  =  tmp[3];  return  null;  return  massData;  }  private  native  void  jniGetMassData(  long  addr,  float[]  massData  );  	return  massData;  
elasticsearch_1952df982b69873544c00470293ee851697abbf4	buggy:  ArrayList<InternalFullDateHistogramFacet.FullEntry>  entries1  =  new  ArrayList<InternalFullDateHistogramFacet.FullEntry>(entries.v().size());  context:  this.entries  =  cacheRecycler.longObjectMap(-1);  }  public  Collector  collector()  {  return  new  Collector();  }  public  InternalFacet  buildFacet(String  facetName)  {          ArrayList<InternalFullDateHistogramFacet.FullEntry>  entries1  =  new  ArrayList<InternalFullDateHistogramFacet.FullEntry>(entries.v().size());          ArrayList<InternalFullDateHistogramFacet.FullEntry>  entries1  =  new  ArrayList<>(entries.v().size());  final  boolean[]  states  =  entries.v().allocated;  final  Object[]  values  =  entries.v().values;  for  (int  i  =  0;  i  <  states.length;  i++)  {  if  (states[i])  {  InternalFullDateHistogramFacet.FullEntry  value  =  (InternalFullDateHistogramFacet.FullEntry)  values[i];  entries1.add(value);  }  }  	ArrayList<InternalFullDateHistogramFacet.FullEntry>  entries1  =  new  ArrayList<>(entries.v().size());  
libgdx_cb99f8ce76bc62dbc7c9c4fab4b0f5c99ff5e9e4	buggy:  return  new  IOSApplication(new  DownloadTest(),  config);  context:  public  class  IOSRobovmTests  extends  IOSApplication.Delegate  {  protected  IOSApplication  createApplication()  {  IOSApplicationConfiguration  config  =  new  IOSApplicationConfiguration();  config.useAccelerometer  =  false;  return  new  IOSApplication(new  DownloadTest(),  config);  return  new  IOSApplication(new  Box2DTestCollection(),  config);  }  public  static  void  main(String[]  argv)  {  NSAutoreleasePool  pool  =  new  NSAutoreleasePool();  UIApplication.main(argv,  null,  IOSRobovmTests.class);  pool.close();  }  }  	return  new  IOSApplication(new  Box2DTestCollection(),  config);  
elasticsearch_30929c3d01804c0db9b06cc62b126a6f18670b80	buggy:  logger.trace( "starting  recovery  to  {},  mark_as_relocated  {} ",  request.targetNode(),  request.markAsRelocated());  context:  this.fileChunkSize  =  componentSettings.getAsBytesSize( "file_chunk_size ",  new  ByteSizeValue(100,  ByteSizeUnit.KB));  this.translogBatchSize  =  componentSettings.getAsInt( "translog_batch_size ",  100);  this.compress  =  componentSettings.getAsBoolean( "compress ",  true);  transportService.registerHandler(Actions.START_RECOVERY,  new  StartRecoveryTransportRequestHandler());  }  private  RecoveryResponse  recover(final  StartRecoveryRequest  request)  {  final  InternalIndexShard  shard  =  (InternalIndexShard)  indicesService.indexServiceSafe(request.shardId().index().name()).shardSafe(request.shardId().id());          logger.trace( "starting  recovery  to  {},  mark_as_relocated  {} ",  request.targetNode(),  request.markAsRelocated());          logger.trace( "[{}][{}]  starting  recovery  to  {},  mark_as_relocated  {} ",  request.shardId().index().name(),  request.shardId().id(),  request.targetNode(),  request.markAsRelocated());  final  RecoveryResponse  response  =  new  RecoveryResponse();  shard.recover(new  Engine.RecoveryHandler()  {  long  totalSize  =  0;  long  existingTotalSize  =  0;  try  {  StopWatch  stopWatch  =  new  StopWatch().start();  	logger.trace( "[{}][{}]  starting  recovery  to  {},  mark_as_relocated  {} ",  request.shardId().index().name(),  request.shardId().id(),  request.targetNode(),  request.markAsRelocated());  
elasticsearch_deda7a37fcd046feaaa4eb9d11552c366cf30ea1	buggy:  .health(Requests.clusterHealthRequest().waitForYellowStatus().waitForEvents(Priority.LANGUID)).actionGet();  context:  .health(request).actionGet();  assertThat(actionGet.isTimedOut(),  equalTo(false));  if  (status  !=  null)  {  assertThat(actionGet.getStatus(),  equalTo(status));  }  return  actionGet.getStatus();  }  public  ClusterHealthStatus  ensureYellow()  {  ClusterHealthResponse  actionGet  =  client().admin().cluster()                  .health(Requests.clusterHealthRequest().waitForYellowStatus().waitForEvents(Priority.LANGUID)).actionGet();                  .health(Requests.clusterHealthRequest().waitForRelocatingShards(0).waitForYellowStatus().waitForEvents(Priority.LANGUID)).actionGet();  assertThat(actionGet.isTimedOut(),  equalTo(false));  return  actionGet.getStatus();  }  public  static  String  commaString(Iterable<String>  strings)  {  return  Joiner.on(',').join(strings);  }  	.health(Requests.clusterHealthRequest().waitForRelocatingShards(0).waitForYellowStatus().waitForEvents(Priority.LANGUID)).actionGet();  
libgdx_4c3bdba85a4bdf0d7cc6b338c3741dde3a3b8f13	buggy:  x  -=  renderOffset;  context:  super.touchDragged(event,  x,  y,  pointer);  lastBlink  =  0;  cursorOn  =  false;  setCursorPosition(x);  hasSelection  =  true;  }  private  void  setCursorPosition  (float  x)  {  lastBlink  =  0;  cursorOn  =  false;  x  -=  renderOffset;  x  -=  renderOffset  +  textOffset;  for  (int  i  =  0;  i  <  glyphPositions.size;  i++)  {  if  (glyphPositions.items[i]  >  x)  {  cursor  =  Math.max(0,  i  -  1);  return;  }  }  cursor  =  Math.max(0,  glyphPositions.size  -  1);  }  	x  -=  renderOffset  +  textOffset;  
libgdx_777834757f63b7171f81abd206b1b316a39528ff	buggy:  if  (keycode  !=  Input.Keys.KEYCODE_SPACE)  return  false;  context:  if  (character  ==  '+')  volume  +=  0.1f;  if  (character  ==  '-')  volume  -=  0.1f;  music.setVolume(volume);  return  false;  }  if  (keycode  !=  Input.Keys.KEYCODE_SPACE)  return  false;  if  (keycode  !=  Input.Keys.SPACE)  return  false;  if  (music.isPlaying())  music.pause();  else  music.play();  return  false;  }  	if  (keycode  !=  Input.Keys.SPACE)  return  false;  
elasticsearch_0bef2c66a996d7a30dc369df7db5e7bc34dcf292	buggy:  IndexTemplateMetaData  template  =  IndexTemplateMetaData.Builder.fromXContent(parser);  context:  File  templatesDir  =  new  File(environment.configFile(),   "templates ");  if  (templatesDir.exists()  &&  templatesDir.isDirectory())  {  File[]  templatesFiles  =  templatesDir.listFiles();  if  (templatesFiles  !=  null)  {  for  (File  templatesFile  :  templatesFiles)  {  XContentParser  parser  =  null;  try  {  byte[]  templatesData  =  Streams.copyToByteArray(templatesFile);  parser  =  XContentHelper.createParser(templatesData,  0,  templatesData.length);                          IndexTemplateMetaData  template  =  IndexTemplateMetaData.Builder.fromXContent(parser);                          IndexTemplateMetaData  template  =  IndexTemplateMetaData.Builder.fromXContentStandalone(parser);  if  (Regex.simpleMatch(template.template(),  request.index))  {  templates.add(template);  }  }  catch  (Exception  e)  {  }  finally  {  IOUtils.closeWhileHandlingException(parser);  }  	IndexTemplateMetaData  template  =  IndexTemplateMetaData.Builder.fromXContentStandalone(parser);  
elasticsearch_d3e9506a1d9ec74ed7a7e29a58c045cec081881b	buggy:  throw  new  EsRejectedExecutionException();  context:  public  class  EsAbortPolicy  implements  RejectedExecutionHandler  {  public  static  final  EsAbortPolicy  INSTANCE  =  new  EsAbortPolicy();  public  void  rejectedExecution(Runnable  r,  ThreadPoolExecutor  executor)  {          throw  new  EsRejectedExecutionException();          throw  new  EsRejectedExecutionException( "rejected  execution  of  [ "  +  r.getClass().getName()  +   "] ");  }  }  	throw  new  EsRejectedExecutionException( "rejected  execution  of  [ "  +  r.getClass().getName()  +   "] ");  
elasticsearch_9b02b5061ba17d3ef8004e7f5076182bc1f19845	buggy:  return  PagedBytesAtomicFieldData.empty();  context:  return  loadDirect(context);  }  public  AtomicFieldData.WithOrdinals  loadDirect(AtomicReaderContext  context)  {  ParentChildAtomicFieldData  parentChildAtomicFieldData  =  ParentChildIndexFieldData.this.load(context);  AtomicFieldData.WithOrdinals  typeAfd  =  parentChildAtomicFieldData.getAtomicFieldData(type);  if(typeAfd  !=  null)  {  return  typeAfd;  }  else  {                      return  PagedBytesAtomicFieldData.empty();                      return  AtomicFieldData.WithOrdinals.EMPTY;  }  }  public  WithOrdinals  loadGlobal(IndexReader  indexReader)  {  return  this;  }  	return  AtomicFieldData.WithOrdinals.EMPTY;  
libgdx_34ed5fbfe5d918ed411939d351930b0ab1457dd2	buggy:  ShaderProgram.TEXCOORDS_ATTRIBUTE  +   "0 "));  context:  final  Mesh  mesh;  ArrayList<VertexAttribute>  attributes  =  new  ArrayList<VertexAttribute>();  attributes  .add(new  VertexAttribute(Usage.Position,  3,  ShaderProgram.POSITION_ATTRIBUTE));  if  (hasNorms)  attributes  .add(new  VertexAttribute(Usage.Normal,  3,  ShaderProgram.NORMAL_ATTRIBUTE));  if  (hasUVs)  attributes.add(new  VertexAttribute(Usage.TextureCoordinates,  2,  ShaderProgram.TEXCOORDS_ATTRIBUTE  +   "0 "));  ShaderProgram.TEXCOORD_ATTRIBUTE  +   "0 "));  mesh  =  new  Mesh(true,  numFaces  *  3,  0,  attributes.toArray(new  VertexAttribute[attributes.size()]));  mesh.setVertices(finalVerts);  StillSubMesh  subMesh  =  new  StillSubMesh(group.name,  mesh,  GL10.GL_TRIANGLES);  subMesh.material  =  new  Material( "default ");  	ShaderProgram.TEXCOORD_ATTRIBUTE  +   "0 "));  
libgdx_ad4ba1c7473f6d64a1cb52eb5cefbff49eb20142	buggy:  batch.draw(texture,  10,  100,  width,  height,  0,  0,  64,  32,  Color.WHITE,  false,  false  );  context:  TextureFilter.Linear,  TextureFilter.Linear,  TextureWrap.ClampToEdge,  TextureWrap.ClampToEdge);  }  public  void  render()  {  Gdx.gl10.glClear(GL10.GL_COLOR_BUFFER_BIT);  batch.begin();  float  width  =  (int)(Gdx.graphics.getPpcX()  *  2);  float  height  =  (int)(Gdx.graphics.getPpcY()  *  1);  batch.draw(texture,  10,  100,  width,  height,  0,  0,  64,  32,  Color.WHITE,  false,  false  );  batch.draw(texture,  10,  100,  width,  height,  0,  0,  64,  32,  false,  false  );  font.draw(batch,   "button  is  2x1  cm  ( "  +  width  +   "x "  +  height  +   "px),  ppi:  ( "  +  Gdx.graphics.getPpiX()  +   ", "  +  Gdx.graphics.getPpiY()  + "),  ppc:  ( "  +  Gdx.graphics.getPpcX()  +   ", "  +  Gdx.graphics.getPpcY()+   ") ",  10,  50);  batch.end();  }  public  boolean  needsGL20()  {  return  false;  }  	batch.draw(texture,  10,  100,  width,  height,  0,  0,  64,  32,  false,  false  );  
elasticsearch_96a185e107fd72900a7d7ed96c3c9031e226e451	buggy:  countRequest.querySource(RestActions.parseQuerySource(request));  context:  CountRequest  countRequest  =  new  CountRequest(RestActions.splitIndices(request.param( "index ")));  countRequest.listenerThreaded(false);  try  {  BroadcastOperationThreading  operationThreading  =  BroadcastOperationThreading.fromString(request.param( "operation_threading "),  BroadcastOperationThreading.SINGLE_THREAD);  if  (operationThreading  ==  BroadcastOperationThreading.NO_THREADS)  {  operationThreading  =  BroadcastOperationThreading.SINGLE_THREAD;  }  countRequest.operationThreading(operationThreading);              countRequest.querySource(RestActions.parseQuerySource(request));              countRequest.query(RestActions.parseQuerySource(request));  countRequest.queryParserName(request.param( "query_parser_name "));  countRequest.queryHint(request.param( "query_hint "));  countRequest.minScore(request.paramAsFloat( "min_score ",  DEFAULT_MIN_SCORE));  String  typesParam  =  request.param( "type ");  if  (typesParam  !=  null)  {  countRequest.types(splitTypes(typesParam));  }  }  catch  (Exception  e)  {  	countRequest.query(RestActions.parseQuerySource(request));  
elasticsearch_c08b96824605b62841193a80a75a2255d8348515	buggy:  threadPool.cached().execute(new  Runnable()  {  context:  final  LocalTransport  targetTransport  =  connectedNodes.get(node);  if  (targetTransport  ==  null)  {  throw  new  NodeNotConnectedException(node,   "Node  not  connected ");  }  final  byte[]  data  =  ((BytesStreamOutput)  stream.wrappedOut()).copiedByteArray();  transportServiceAdapter.sent(data.length);              threadPool.cached().execute(new  Runnable()  {              threadPool.generic().execute(new  Runnable()  {  public  void  run()  {  targetTransport.messageReceived(data,  action,  LocalTransport.this,  requestId);  }  });  }  finally  {  CachedStreamOutput.pushEntry(cachedEntry);  }  	threadPool.generic().execute(new  Runnable()  {  
libgdx_591316a437a56840fc61c40482439bc77683a99a	buggy:  return  new  IOSApplication(new  DownloadTest(),  config);  context:  public  class  IOSRobovmTests  extends  IOSApplication.Delegate  {  class  InnerClass  {  }  protected  IOSApplication  createApplication()  {  IOSApplicationConfiguration  config  =  new  IOSApplicationConfiguration();  return  new  IOSApplication(new  DownloadTest(),  config);  return  new  IOSApplication(new  BulletTestCollection(),  config);  }  public  static  void  main(String[]  argv)  {  NSAutoreleasePool  pool  =  new  NSAutoreleasePool();  UIApplication.main(argv,  null,  IOSRobovmTests.class);  pool.drain();  }  }  	return  new  IOSApplication(new  BulletTestCollection(),  config);  
elasticsearch_5c237fe834625cdaa7f8850f4d565733ce78e687	buggy:  .addAggregation(histogram( "histo ").field( "value ").interval(1l).emptyBuckets(true).subAggregation(sum( "sum ")))  context:  public  class  SumTests  extends  AbstractNumericTests  {  public  void  testEmptyAggregation()  throws  Exception  {  SearchResponse  searchResponse  =  client().prepareSearch( "empty_bucket_idx ")  .setQuery(matchAllQuery())                  .addAggregation(histogram( "histo ").field( "value ").interval(1l).emptyBuckets(true).subAggregation(sum( "sum ")))                  .addAggregation(histogram( "histo ").field( "value ").interval(1l).minDocCount(0).subAggregation(sum( "sum ")))  .execute().actionGet();  assertThat(searchResponse.getHits().getTotalHits(),  equalTo(2l));  Histogram  histo  =  searchResponse.getAggregations().get( "histo ");  assertThat(histo,  notNullValue());  Histogram.Bucket  bucket  =  histo.getByKey(1l);  assertThat(bucket,  notNullValue());  	.addAggregation(histogram( "histo ").field( "value ").interval(1l).minDocCount(0).subAggregation(sum( "sum ")))  
elasticsearch_a15f149dc658f94ca812ed31b09c8694da18f762	buggy:  out.writeString(names[0]);  context:  names[0]  =  in.readString();  }  }  public  void  writeTo(StreamOutput  out)  throws  IOException  {  super.writeTo(out);  if  (out.getVersion().onOrAfter(Version.V_0_90_4))  {  out.writeStringArray(names);  }  else  {              out.writeString(names[0]);              out.writeString(names.length  ==  0  ?   "* "  :  names[0]);  }  }  }  	out.writeString(names.length  ==  0  ?   "* "  :  names[0]);  
